County,Population
Adams,20630
Ashland,15946
Barron,46472
Bayfield,15335
Brown,262452
Buffalo,13707
Burnett,15524
Calumet,53018
Chippewa,64881
Clark,34748
Columbia,57282
Crawford,16669
Dane,537328
Dodge,90032
Door,28650
Douglas,44468
Dunn,44621
Eau Claire,103159
Florence,4475
Fond du Lac,104423
Forest,9195
Grant,52954
Green,37086
Green Lake,19224
Iowa,23896
Iron,5894
Jackson,20832
Jefferson,84579
Juneau,27232
Kenosha,170071
Kewaunee,20782
La Crosse,119484
Lafayette,17002
Langlade,20086
Lincoln,28957
Manitowoc,81643
Marathon,136517
Marinette,41401
Marquette,15390
Menominee,4265
Milwaukee,946296
Monroe,46994
Oconto,38778
Oneida,36285
Outagamie,187092
Ozaukee,89905
Pepin,7431
Pierce,42208
Polk,44536
Portage,71680
Price,14216
Racine,196487
Richland,18007
Rock,160444
Rusk,14919
St. Croix,89692
Sauk,63281
Sawyer,16893
Shawano,41775
Sheboygan,116547
Taylor,20849
Trempealeau,29964
Vernon,30424
Vilas,21798
Walworth,104062
Washburn,16027
Washington,137637
Waukesha,405991
Waupaca,52368
Waushara,24517
Winnebago,170580
Wood,75450
