Day of Result Date,Day of MaxDate,Day of Min 14 days,Measure Names,Measure Values,NotPositive.y,Positive.y,Testing Perc Pos moving avg (copy),Testing Perc Pos moving avg,Total.Y
8-Oct-20,9-Oct-20,24-Sep-20,People tested positive,2980,12415,2980,17.38323796,17.38323796,15395
7-Oct-20,9-Oct-20,24-Sep-20,People tested positive,3025,12867,3025,17.12130788,17.12130788,15892
6-Oct-20,9-Oct-20,24-Sep-20,People tested positive,2312,11692,2312,16.85271542,16.85271542,14004
5-Oct-20,9-Oct-20,24-Sep-20,People tested positive,1867,9627,1867,16.99108337,16.99108337,11494
4-Oct-20,9-Oct-20,24-Sep-20,People tested positive,1991,10088,1991,17.2112854,17.2112854,12079
3-Oct-20,9-Oct-20,24-Sep-20,People tested positive,2133,11211,2133,17.07906488,17.07906488,13344
2-Oct-20,9-Oct-20,24-Sep-20,People tested positive,2370,11365,2370,17.56080821,17.56080821,13735
1-Oct-20,9-Oct-20,24-Sep-20,People tested positive,2828,13147,2828,17.50263209,17.50263209,15975
30-Sep-20,9-Oct-20,24-Sep-20,People tested positive,2834,13463,2834,17.40163526,17.40163526,16297
29-Sep-20,9-Oct-20,24-Sep-20,People tested positive,2117,9950,2117,17.3254179,17.3254179,12067
28-Sep-20,9-Oct-20,24-Sep-20,People tested positive,2076,9417,2076,17.06521174,17.06521174,11493
27-Sep-20,9-Oct-20,24-Sep-20,People tested positive,1897,10367,1897,16.58644985,16.58644985,12264
26-Sep-20,9-Oct-20,24-Sep-20,People tested positive,2765,11567,2765,16.58796782,16.58796782,14332
25-Sep-20,9-Oct-20,24-Sep-20,People tested positive,2606,12797,2606,15.97280264,15.97280264,15403
24-Sep-20,9-Oct-20,24-Sep-20,People tested positive,2476,12044,2476,15.91329361,15.91329361,14520
23-Sep-20,9-Oct-20,24-Sep-20,People tested positive,2698,13238,2698,15.66732254,15.66732254,15936
22-Sep-20,9-Oct-20,24-Sep-20,People tested positive,1903,10374,1903,15.44035804,15.44035804,12277
21-Sep-20,9-Oct-20,24-Sep-20,People tested positive,1404,8815,1404,15.15243938,15.15243938,10219
20-Sep-20,9-Oct-20,24-Sep-20,People tested positive,1324,7477,1324,15.19523306,15.19523306,8801
19-Sep-20,9-Oct-20,24-Sep-20,People tested positive,1731,9651,1731,15.14373966,15.14373966,11382
18-Sep-20,9-Oct-20,24-Sep-20,People tested positive,2405,12066,2405,14.77505744,14.77505744,14471
17-Sep-20,9-Oct-20,24-Sep-20,People tested positive,2151,11670,2151,14.33127707,14.33127707,13821
16-Sep-20,9-Oct-20,24-Sep-20,People tested positive,2399,12878,2399,14.14182883,14.14182883,15277
15-Sep-20,9-Oct-20,24-Sep-20,People tested positive,1503,9773,1503,13.95655981,13.95655981,11276
14-Sep-20,9-Oct-20,24-Sep-20,People tested positive,1263,7788,1263,13.91723534,13.91723534,9051
13-Sep-20,9-Oct-20,24-Sep-20,People tested positive,1001,5953,1001,13.59642664,13.59642664,6954
12-Sep-20,9-Oct-20,24-Sep-20,People tested positive,1239,8865,1239,13.25767515,13.25767515,10104
11-Sep-20,9-Oct-20,24-Sep-20,People tested positive,1363,8344,1363,13.27761665,13.27761665,9707
