Day of Result Date,Day of MaxDate,Day of Min 14 days,Measure Names,Measure Values,NotPositive.y,Positive.y,Testing Perc Pos moving avg (copy),Testing Perc Pos moving avg,Total.Y
"October 18, 2020","October 19, 2020","October 4, 2020",People tested positive,2014,8054,2014,21.132818047,21.132818047,10068
"October 17, 2020","October 19, 2020","October 4, 2020",People tested positive,2645,9342,2645,21.025950155,21.025950155,11987
"October 16, 2020","October 19, 2020","October 4, 2020",People tested positive,3173,11642,3173,20.613666730,20.613666730,14815
"October 15, 2020","October 19, 2020","October 4, 2020",People tested positive,3765,13373,3765,20.432690026,20.432690026,17138
"October 14, 2020","October 19, 2020","October 4, 2020",People tested positive,3377,12783,3377,19.769824561,19.769824561,16160
"October 13, 2020","October 19, 2020","October 4, 2020",People tested positive,3010,11277,3010,19.537596138,19.537596138,14287
"October 12, 2020","October 19, 2020","October 4, 2020",People tested positive,2850,11281,2850,18.944918688,18.944918688,14131
"October 11, 2020","October 19, 2020","October 4, 2020",People tested positive,2457,10219,2457,18.498630985,18.498630985,12676
"October 10, 2020","October 19, 2020","October 4, 2020",People tested positive,2967,12606,2967,18.197167703,18.197167703,15573
"October 9, 2020","October 19, 2020","October 4, 2020",People tested positive,3098,12278,3098,17.805561112,17.805561112,15376
"October 8, 2020","October 19, 2020","October 4, 2020",People tested positive,3370,15302,3370,17.418066199,17.418066199,18672
"October 7, 2020","October 19, 2020","October 4, 2020",People tested positive,3053,12719,3053,17.396421104,17.396421104,15772
"October 6, 2020","October 19, 2020","October 4, 2020",People tested positive,2312,11622,2312,17.116116253,17.116116253,13934
"October 5, 2020","October 19, 2020","October 4, 2020",People tested positive,1863,9493,1863,17.272902439,17.272902439,11356
"October 4, 2020","October 19, 2020","October 4, 2020",People tested positive,1982,9796,1982,17.493684977,17.493684977,11778
"October 3, 2020","October 19, 2020","October 4, 2020",People tested positive,2124,10968,2124,17.324126761,17.324126761,13092
"October 2, 2020","October 19, 2020","October 4, 2020",People tested positive,2388,11136,2388,17.789570106,17.789570106,13524
"October 1, 2020","October 19, 2020","October 4, 2020",People tested positive,2834,12879,2834,17.685731711,17.685731711,15713
"September 30, 2020","October 19, 2020","October 4, 2020",People tested positive,2828,13188,2828,17.547112494,17.547112494,16016
"September 29, 2020","October 19, 2020","October 4, 2020",People tested positive,2117,9822,2117,17.441225861,17.441225861,11939
"September 28, 2020","October 19, 2020","October 4, 2020",People tested positive,2071,9295,2071,17.169021455,17.169021455,11366
"September 27, 2020","October 19, 2020","October 4, 2020",People tested positive,1896,10300,1896,16.679737177,16.679737177,12196
"September 26, 2020","October 19, 2020","October 4, 2020",People tested positive,2762,11461,2762,16.680047953,16.680047953,14223
"September 25, 2020","October 19, 2020","October 4, 2020",People tested positive,2601,12685,2601,16.055342883,16.055342883,15286
"September 24, 2020","October 19, 2020","October 4, 2020",People tested positive,2476,11961,2476,15.993665875,15.993665875,14437
"September 23, 2020","October 19, 2020","October 4, 2020",People tested positive,2695,13138,2695,15.744306813,15.744306813,15833
"September 22, 2020","October 19, 2020","October 4, 2020",People tested positive,1904,10305,1904,15.513927236,15.513927236,12209
"September 21, 2020","October 19, 2020","October 4, 2020",People tested positive,1405,8771,1405,15.220362951,15.220362951,10176
"September 20, 2020","October 19, 2020","October 4, 2020",People tested positive,1323,7436,1323,15.265113945,15.265113945,8759
"September 19, 2020","October 19, 2020","October 4, 2020",People tested positive,1730,9603,1730,15.217125681,15.217125681,11333
"September 18, 2020","October 19, 2020","October 4, 2020",People tested positive,2405,11995,2405,14.851411405,14.851411405,14400
"September 17, 2020","October 19, 2020","October 4, 2020",People tested positive,2151,11602,2151,14.408366744,14.408366744,13753
"September 16, 2020","October 19, 2020","October 4, 2020",People tested positive,2399,12810,2399,14.226977077,14.226977077,15209
"September 15, 2020","October 19, 2020","October 4, 2020",People tested positive,1503,9727,1503,14.049264780,14.049264780,11230
"September 14, 2020","October 19, 2020","October 4, 2020",People tested positive,1263,7734,1263,14.014603135,14.014603135,8997
"September 13, 2020","October 19, 2020","October 4, 2020",People tested positive,1003,5917,1003,13.691239843,13.691239843,6920
"September 12, 2020","October 19, 2020","October 4, 2020",People tested positive,1240,8809,1240,13.340363828,13.340363828,10049
"September 11, 2020","October 19, 2020","October 4, 2020",People tested positive,1366,8300,1366,13.360693901,13.360693901,9666
"September 10, 2020","October 19, 2020","October 4, 2020",People tested positive,1572,9078,1572,12.874927772,12.874927772,10650
"September 9, 2020","October 19, 2020","October 4, 2020",People tested positive,1789,9998,1789,12.205113463,12.205113463,11787
"September 8, 2020","October 19, 2020","October 4, 2020",People tested positive,673,4806,673,11.325226909,11.325226909,5479
"September 7, 2020","October 19, 2020","October 4, 2020",People tested positive,681,5566,681,10.919848420,10.919848420,6247
"September 6, 2020","October 19, 2020","October 4, 2020",People tested positive,775,6035,775,10.474092321,10.474092321,6810
"September 5, 2020","October 19, 2020","October 4, 2020",People tested positive,892,6460,892,10.106640814,10.106640814,7352
"September 4, 2020","October 19, 2020","October 4, 2020",People tested positive,971,7815,971,9.632281721,9.632281721,8786
"September 3, 2020","October 19, 2020","October 4, 2020",People tested positive,1012,8184,1012,9.288375103,9.288375103,9196
"September 2, 2020","October 19, 2020","October 4, 2020",People tested positive,873,7150,873,9.005359918,9.005359918,8023
"September 1, 2020","October 19, 2020","October 4, 2020",People tested positive,905,8625,905,8.737251424,8.737251424,9530
"August 31, 2020","October 19, 2020","October 4, 2020",People tested positive,610,7340,610,8.521077741,8.521077741,7950
"August 30, 2020","October 19, 2020","October 4, 2020",People tested positive,575,6352,575,8.557564291,8.557564291,6927
"August 29, 2020","October 19, 2020","October 4, 2020",People tested positive,623,6781,623,8.362105986,8.362105986,7404
"August 28, 2020","October 19, 2020","October 4, 2020",People tested positive,713,7436,713,8.180420118,8.180420118,8149
"August 27, 2020","October 19, 2020","October 4, 2020",People tested positive,859,8435,859,8.178271048,8.178271048,9294
