Day of MaxDate,Day of Min 14 days,Day of Result Date,Max. Result Date,NotPositive.y,Positive.y,Testing Perc Pos moving avg (copy),Testing Perc Pos moving avg,Total.Y
4-Dec-20,19-Nov-20,1-Mar-20,,0,0,0,0,0
4-Dec-20,19-Nov-20,1-Mar-20,,0,0,0,0,0
4-Dec-20,19-Nov-20,1-Mar-20,3/1/2020,0,0,0,0,0
4-Dec-20,19-Nov-20,2-Mar-20,,3,0,0,0,3
4-Dec-20,19-Nov-20,2-Mar-20,,3,0,0,0,3
4-Dec-20,19-Nov-20,2-Mar-20,3/2/2020,3,0,0,0,3
4-Dec-20,19-Nov-20,3-Mar-20,,0,0,0,0,0
4-Dec-20,19-Nov-20,3-Mar-20,,0,0,0,0,0
4-Dec-20,19-Nov-20,3-Mar-20,3/3/2020,0,0,0,0,0
4-Dec-20,19-Nov-20,4-Mar-20,,5,0,0,0,5
4-Dec-20,19-Nov-20,4-Mar-20,,5,0,0,0,5
4-Dec-20,19-Nov-20,4-Mar-20,3/4/2020,5,0,0,0,5
4-Dec-20,19-Nov-20,5-Mar-20,,10,0,0,0,10
4-Dec-20,19-Nov-20,5-Mar-20,,10,0,0,0,10
4-Dec-20,19-Nov-20,5-Mar-20,3/5/2020,10,0,0,0,10
4-Dec-20,19-Nov-20,6-Mar-20,,7,0,0,0,7
4-Dec-20,19-Nov-20,6-Mar-20,,7,0,0,0,7
4-Dec-20,19-Nov-20,6-Mar-20,3/6/2020,7,0,0,0,7
4-Dec-20,19-Nov-20,7-Mar-20,,0,0,0,0,0
4-Dec-20,19-Nov-20,7-Mar-20,,0,0,0,0,0
4-Dec-20,19-Nov-20,7-Mar-20,3/7/2020,0,0,0,0,0
4-Dec-20,19-Nov-20,8-Mar-20,,0,0,0,0,0
4-Dec-20,19-Nov-20,8-Mar-20,,0,0,0,0,0
4-Dec-20,19-Nov-20,8-Mar-20,3/8/2020,0,0,0,0,0
4-Dec-20,19-Nov-20,9-Mar-20,,9,0,0,0,9
4-Dec-20,19-Nov-20,9-Mar-20,,9,0,0,0,9
4-Dec-20,19-Nov-20,9-Mar-20,3/9/2020,9,0,0,0,9
4-Dec-20,19-Nov-20,10-Mar-20,,15,1,2.127659574,2.127659574,16
4-Dec-20,19-Nov-20,10-Mar-20,,15,1,2.127659574,2.127659574,16
4-Dec-20,19-Nov-20,10-Mar-20,3/10/2020,15,1,2.127659574,2.127659574,16
4-Dec-20,19-Nov-20,11-Mar-20,,42,3,4.597701149,4.597701149,45
4-Dec-20,19-Nov-20,11-Mar-20,,42,3,4.597701149,4.597701149,45
4-Dec-20,19-Nov-20,11-Mar-20,3/11/2020,42,3,4.597701149,4.597701149,45
4-Dec-20,19-Nov-20,12-Mar-20,,62,4,5.594405594,5.594405594,66
4-Dec-20,19-Nov-20,12-Mar-20,,62,4,5.594405594,5.594405594,66
4-Dec-20,19-Nov-20,12-Mar-20,3/12/2020,62,4,5.594405594,5.594405594,66
4-Dec-20,19-Nov-20,13-Mar-20,,111,9,6.640625,6.640625,120
4-Dec-20,19-Nov-20,13-Mar-20,,111,9,6.640625,6.640625,120
4-Dec-20,19-Nov-20,13-Mar-20,3/13/2020,111,9,6.640625,6.640625,120
4-Dec-20,19-Nov-20,14-Mar-20,,248,13,5.80270793,5.80270793,261
4-Dec-20,19-Nov-20,14-Mar-20,,248,13,5.80270793,5.80270793,261
4-Dec-20,19-Nov-20,14-Mar-20,3/14/2020,248,13,5.80270793,5.80270793,261
4-Dec-20,19-Nov-20,15-Mar-20,,332,14,5.098493627,5.098493627,346
4-Dec-20,19-Nov-20,15-Mar-20,,332,14,5.098493627,5.098493627,346
4-Dec-20,19-Nov-20,15-Mar-20,3/15/2020,332,14,5.098493627,5.098493627,346
4-Dec-20,19-Nov-20,16-Mar-20,,322,17,5.113160101,5.113160101,339
4-Dec-20,19-Nov-20,16-Mar-20,,322,17,5.113160101,5.113160101,339
4-Dec-20,19-Nov-20,16-Mar-20,3/16/2020,322,17,5.113160101,5.113160101,339
4-Dec-20,19-Nov-20,17-Mar-20,,699,39,5.169712794,5.169712794,738
4-Dec-20,19-Nov-20,17-Mar-20,,699,39,5.169712794,5.169712794,738
4-Dec-20,19-Nov-20,17-Mar-20,3/17/2020,699,39,5.169712794,5.169712794,738
4-Dec-20,19-Nov-20,18-Mar-20,,888,69,5.836575875,5.836575875,957
4-Dec-20,19-Nov-20,18-Mar-20,,888,69,5.836575875,5.836575875,957
4-Dec-20,19-Nov-20,18-Mar-20,3/18/2020,888,69,5.836575875,5.836575875,957
4-Dec-20,19-Nov-20,19-Mar-20,,"1,120",55,5.487804878,5.487804878,"1,175"
4-Dec-20,19-Nov-20,19-Mar-20,,"1,120",55,5.487804878,5.487804878,"1,175"
4-Dec-20,19-Nov-20,19-Mar-20,3/19/2020,"1,120",55,5.487804878,5.487804878,"1,175"
4-Dec-20,19-Nov-20,20-Mar-20,,"1,344",69,5.278255881,5.278255881,"1,413"
4-Dec-20,19-Nov-20,20-Mar-20,,"1,344",69,5.278255881,5.278255881,"1,413"
4-Dec-20,19-Nov-20,20-Mar-20,3/20/2020,"1,344",69,5.278255881,5.278255881,"1,413"
4-Dec-20,19-Nov-20,21-Mar-20,,"1,088",76,5.528375734,5.528375734,"1,164"
4-Dec-20,19-Nov-20,21-Mar-20,,"1,088",76,5.528375734,5.528375734,"1,164"
4-Dec-20,19-Nov-20,21-Mar-20,3/21/2020,"1,088",76,5.528375734,5.528375734,"1,164"
