Report Date,Region,% Difference in Total COVID Patients,Total COVID Patients
3/30/2020,Southeast,,
3/31/2020,Southeast,,105
4/1/2020,Southeast,0%,105
4/2/2020,Southeast,26.666666667%,133
4/3/2020,Southeast,59.398496241%,212
4/4/2020,Southeast,-1.886792453%,208
4/5/2020,Southeast,0.480769231%,209
4/6/2020,Southeast,-0.956937799%,207
4/7/2020,Southeast,15.942028986%,240
4/8/2020,Southeast,2.916666667%,247
4/9/2020,Southeast,39.676113360%,345
4/10/2020,Southeast,-0.579710145%,343
4/11/2020,Southeast,-1.166180758%,339
4/12/2020,Southeast,0.294985251%,340
4/13/2020,Southeast,-0.588235294%,338
4/14/2020,Southeast,3.550295858%,350
4/15/2020,Southeast,-7.428571429%,324
4/16/2020,Southeast,-3.703703704%,312
4/17/2020,Southeast,-10.256410256%,280
4/18/2020,Southeast,-0.714285714%,278
4/19/2020,Southeast,0%,278
4/20/2020,Southeast,2.158273381%,284
4/21/2020,Southeast,0.352112676%,285
4/22/2020,Southeast,-1.403508772%,281
4/23/2020,Southeast,-2.846975089%,273
4/24/2020,Southeast,-0.732600733%,271
4/25/2020,Southeast,-7.749077491%,250
4/26/2020,Southeast,1.2%,253
4/27/2020,Southeast,-1.976284585%,248
4/28/2020,Southeast,4.838709677%,260
4/29/2020,Southeast,0%,260
4/30/2020,Southeast,-3.846153846%,250
5/1/2020,Southeast,3.2%,258
5/2/2020,Southeast,-1.162790698%,255
5/3/2020,Southeast,-1.176470588%,252
5/4/2020,Southeast,-3.174603175%,244
5/5/2020,Southeast,-8.606557377%,223
5/6/2020,Southeast,-2.242152466%,218
5/7/2020,Southeast,7.339449541%,234
5/8/2020,Southeast,5.982905983%,248
5/9/2020,Southeast,-2.016129032%,243
5/10/2020,Southeast,-2.057613169%,238
5/11/2020,Southeast,2.100840336%,243
5/12/2020,Southeast,-1.646090535%,239
5/13/2020,Southeast,0%,239
5/14/2020,Southeast,2.928870293%,246
5/15/2020,Southeast,-1.219512195%,243
5/16/2020,Southeast,6.584362140%,259
5/17/2020,Southeast,2.316602317%,265
5/18/2020,Southeast,6.037735849%,281
5/19/2020,Southeast,4.270462633%,293
5/20/2020,Southeast,1.023890785%,296
5/21/2020,Southeast,-1.351351351%,292
5/22/2020,Southeast,-2.054794521%,286
5/23/2020,Southeast,-1.748251748%,281
5/24/2020,Southeast,4.270462633%,293
5/25/2020,Southeast,-4.095563140%,281
5/26/2020,Southeast,4.982206406%,295
5/27/2020,Southeast,-1.694915254%,290
5/28/2020,Southeast,0.689655172%,292
5/29/2020,Southeast,1.712328767%,297
5/30/2020,Southeast,-2.693602694%,289
5/31/2020,Southeast,2.422145329%,296
6/1/2020,Southeast,0.337837838%,297
6/2/2020,Southeast,-3.703703704%,286
6/3/2020,Southeast,-8.741258741%,261
6/4/2020,Southeast,0.766283525%,263
6/5/2020,Southeast,3.041825095%,271
6/6/2020,Southeast,-11.808118081%,239
6/7/2020,Southeast,-0.836820084%,237
6/8/2020,Southeast,2.953586498%,244
6/9/2020,Southeast,-1.229508197%,241
6/10/2020,Southeast,-2.074688797%,236
6/11/2020,Southeast,-9.745762712%,213
6/12/2020,Southeast,-2.347417840%,208
6/13/2020,Southeast,0%,208
6/14/2020,Southeast,-0.480769231%,207
6/15/2020,Southeast,-2.898550725%,201
6/16/2020,Southeast,-3.980099502%,193
6/17/2020,Southeast,-12.435233161%,169
6/18/2020,Southeast,-3.550295858%,163
6/19/2020,Southeast,-1.226993865%,161
6/20/2020,Southeast,-3.105590062%,156
6/21/2020,Southeast,-2.564102564%,152
6/22/2020,Southeast,0%,152
6/23/2020,Southeast,0%,152
6/24/2020,Southeast,2.631578947%,156
6/25/2020,Southeast,5.128205128%,164
6/26/2020,Southeast,4.268292683%,171
6/27/2020,Southeast,-6.432748538%,160
6/28/2020,Southeast,3.75%,166
6/29/2020,Southeast,-9.036144578%,151
6/30/2020,Southeast,1.324503311%,153
7/1/2020,Southeast,1.307189542%,155
7/2/2020,Southeast,-1.935483871%,152
7/3/2020,Southeast,6.578947368%,162
7/4/2020,Southeast,-4.938271605%,154
7/5/2020,Southeast,0%,154
7/6/2020,Southeast,5.844155844%,163
7/7/2020,Southeast,-2.453987730%,159
7/8/2020,Southeast,8.805031447%,173
7/9/2020,Southeast,-1.156069364%,171
7/10/2020,Southeast,0%,171
7/11/2020,Southeast,-4.678362573%,163
7/12/2020,Southeast,1.840490798%,166
7/13/2020,Southeast,10.240963855%,183
7/14/2020,Southeast,-1.639344262%,180
7/15/2020,Southeast,-1.666666667%,177
7/16/2020,Southeast,7.909604520%,191
7/17/2020,Southeast,7.329842932%,205
7/18/2020,Southeast,0%,205
7/19/2020,Southeast,5.365853659%,216
7/20/2020,Southeast,12.037037037%,242
7/21/2020,Southeast,-1.239669421%,239
7/22/2020,Southeast,-57.740585774%,101
7/23/2020,Southeast,3.960396040%,105
7/24/2020,Southeast,114.285714286%,225
7/25/2020,Southeast,-46.666666667%,120
7/26/2020,Southeast,-27.5%,87
7/27/2020,Southeast,70.114942529%,148
7/28/2020,Southeast,-21.621621622%,116
7/29/2020,Southeast,85.344827586%,215
7/30/2020,Southeast,-2.325581395%,210
7/31/2020,Southeast,-9.523809524%,190
8/1/2020,Southeast,10%,209
8/2/2020,Southeast,0.478468900%,210
8/3/2020,Southeast,-1.428571429%,207
8/4/2020,Southeast,-4.830917874%,197
8/5/2020,Southeast,-5.583756345%,186
8/6/2020,Southeast,6.451612903%,198
8/7/2020,Southeast,2.525252525%,203
8/8/2020,Southeast,0.492610837%,204
8/9/2020,Southeast,2.941176471%,210
8/10/2020,Southeast,16.190476190%,244
8/11/2020,Southeast,-7.786885246%,225
8/12/2020,Southeast,4.444444444%,235
8/13/2020,Southeast,-7.234042553%,218
8/14/2020,Southeast,-3.669724771%,210
8/15/2020,Southeast,5.238095238%,221
8/16/2020,Southeast,-3.619909502%,213
8/17/2020,Southeast,4.694835681%,223
8/18/2020,Southeast,1.793721973%,227
8/19/2020,Southeast,2.202643172%,232
8/20/2020,Southeast,-8.189655172%,213
8/21/2020,Southeast,4.225352113%,222
8/22/2020,Southeast,-7.207207207%,206
8/23/2020,Southeast,-6.310679612%,193
8/24/2020,Southeast,8.290155440%,209
8/25/2020,Southeast,4.784688995%,219
8/26/2020,Southeast,2.283105023%,224
8/27/2020,Southeast,-24.553571429%,169
8/28/2020,Southeast,13.017751479%,191
8/29/2020,Southeast,-17.801047120%,157
8/30/2020,Southeast,8.917197452%,171
8/31/2020,Southeast,-2.923976608%,166
9/1/2020,Southeast,-1.204819277%,164
9/2/2020,Southeast,-7.926829268%,151
9/3/2020,Southeast,-7.284768212%,140
9/4/2020,Southeast,13.571428571%,159
9/5/2020,Southeast,-16.981132075%,132
9/6/2020,Southeast,4.545454545%,138
9/7/2020,Southeast,0%,138
9/8/2020,Southeast,5.072463768%,145
9/9/2020,Southeast,-4.827586207%,138
9/10/2020,Southeast,1.449275362%,140
9/11/2020,Southeast,14.285714286%,160
9/12/2020,Southeast,-0.625%,159
9/13/2020,Southeast,-11.320754717%,141
9/14/2020,Southeast,1.418439716%,143
9/15/2020,Southeast,-1.398601399%,141
9/16/2020,Southeast,19.858156028%,169
9/17/2020,Southeast,-11.834319527%,149
9/18/2020,Southeast,-5.369127517%,141
9/19/2020,Southeast,-4.255319149%,135
9/20/2020,Southeast,9.629629630%,148
9/21/2020,Southeast,9.459459459%,162
9/22/2020,Southeast,9.876543210%,178
9/23/2020,Southeast,14.044943820%,203
9/24/2020,Southeast,-2.955665025%,197
3/30/2020,Fox Valley,,
3/31/2020,Fox Valley,,0
4/1/2020,Fox Valley,,2
4/2/2020,Fox Valley,50%,3
4/3/2020,Fox Valley,0%,3
4/4/2020,Fox Valley,0%,3
4/5/2020,Fox Valley,0%,3
4/6/2020,Fox Valley,0%,3
4/7/2020,Fox Valley,0%,3
4/8/2020,Fox Valley,66.666666667%,5
4/9/2020,Fox Valley,0%,5
4/10/2020,Fox Valley,0%,5
4/11/2020,Fox Valley,0%,5
4/12/2020,Fox Valley,0%,5
4/13/2020,Fox Valley,0%,5
4/14/2020,Fox Valley,60%,8
4/15/2020,Fox Valley,-12.5%,7
4/16/2020,Fox Valley,0%,7
4/17/2020,Fox Valley,28.571428571%,9
4/18/2020,Fox Valley,-11.111111111%,8
4/19/2020,Fox Valley,-12.5%,7
4/20/2020,Fox Valley,0%,7
4/21/2020,Fox Valley,0%,7
4/22/2020,Fox Valley,-14.285714286%,6
4/23/2020,Fox Valley,0%,6
4/24/2020,Fox Valley,-16.666666667%,5
4/25/2020,Fox Valley,0%,5
4/26/2020,Fox Valley,0%,5
4/27/2020,Fox Valley,0%,5
4/28/2020,Fox Valley,-80%,1
4/29/2020,Fox Valley,300%,4
4/30/2020,Fox Valley,0%,4
5/1/2020,Fox Valley,25%,5
5/2/2020,Fox Valley,40%,7
5/3/2020,Fox Valley,14.285714286%,8
5/4/2020,Fox Valley,-37.5%,5
5/5/2020,Fox Valley,-40%,3
5/6/2020,Fox Valley,33.333333333%,4
5/7/2020,Fox Valley,0%,4
5/8/2020,Fox Valley,0%,4
5/9/2020,Fox Valley,0%,4
5/10/2020,Fox Valley,-25%,3
5/11/2020,Fox Valley,0%,3
5/12/2020,Fox Valley,0%,3
5/13/2020,Fox Valley,100%,6
5/14/2020,Fox Valley,0%,6
5/15/2020,Fox Valley,100%,12
5/16/2020,Fox Valley,-16.666666667%,10
5/17/2020,Fox Valley,0%,10
5/18/2020,Fox Valley,20%,12
5/19/2020,Fox Valley,0%,12
5/20/2020,Fox Valley,0%,12
5/21/2020,Fox Valley,16.666666667%,14
5/22/2020,Fox Valley,0%,14
5/23/2020,Fox Valley,-14.285714286%,12
5/24/2020,Fox Valley,16.666666667%,14
5/25/2020,Fox Valley,-7.142857143%,13
5/26/2020,Fox Valley,38.461538462%,18
5/27/2020,Fox Valley,0%,18
5/28/2020,Fox Valley,0%,18
5/29/2020,Fox Valley,27.777777778%,23
5/30/2020,Fox Valley,0%,23
5/31/2020,Fox Valley,8.695652174%,25
6/1/2020,Fox Valley,-16%,21
6/2/2020,Fox Valley,-19.047619048%,17
6/3/2020,Fox Valley,0%,17
6/4/2020,Fox Valley,5.882352941%,18
6/5/2020,Fox Valley,-22.222222222%,14
6/6/2020,Fox Valley,0%,14
6/7/2020,Fox Valley,0%,14
6/8/2020,Fox Valley,0%,14
6/9/2020,Fox Valley,0%,14
6/10/2020,Fox Valley,-7.142857143%,13
6/11/2020,Fox Valley,-15.384615385%,11
6/12/2020,Fox Valley,-9.090909091%,10
6/13/2020,Fox Valley,50%,15
6/14/2020,Fox Valley,46.666666667%,22
6/15/2020,Fox Valley,9.090909091%,24
6/16/2020,Fox Valley,-8.333333333%,22
6/17/2020,Fox Valley,-22.727272727%,17
6/18/2020,Fox Valley,-5.882352941%,16
6/19/2020,Fox Valley,0%,16
6/20/2020,Fox Valley,18.75%,19
6/21/2020,Fox Valley,5.263157895%,20
6/22/2020,Fox Valley,-10%,18
6/23/2020,Fox Valley,0%,18
6/24/2020,Fox Valley,-11.111111111%,16
6/25/2020,Fox Valley,6.25%,17
6/26/2020,Fox Valley,-5.882352941%,16
6/27/2020,Fox Valley,0%,16
6/28/2020,Fox Valley,-12.5%,14
6/29/2020,Fox Valley,0%,14
6/30/2020,Fox Valley,7.142857143%,15
7/1/2020,Fox Valley,-40%,9
7/2/2020,Fox Valley,22.222222222%,11
7/3/2020,Fox Valley,-9.090909091%,10
7/4/2020,Fox Valley,20%,12
7/5/2020,Fox Valley,8.333333333%,13
7/6/2020,Fox Valley,-15.384615385%,11
7/7/2020,Fox Valley,-45.454545455%,6
7/8/2020,Fox Valley,100%,12
7/9/2020,Fox Valley,8.333333333%,13
7/10/2020,Fox Valley,0%,13
7/11/2020,Fox Valley,-23.076923077%,10
7/12/2020,Fox Valley,-20%,8
7/13/2020,Fox Valley,-12.5%,7
7/14/2020,Fox Valley,42.857142857%,10
7/15/2020,Fox Valley,0%,10
7/16/2020,Fox Valley,20%,12
7/17/2020,Fox Valley,16.666666667%,14
7/18/2020,Fox Valley,-28.571428571%,10
7/19/2020,Fox Valley,100%,20
7/20/2020,Fox Valley,-20%,16
7/21/2020,Fox Valley,-6.25%,15
7/22/2020,Fox Valley,-26.666666667%,11
7/23/2020,Fox Valley,9.090909091%,12
7/24/2020,Fox Valley,25%,15
7/25/2020,Fox Valley,6.666666667%,16
7/26/2020,Fox Valley,-6.25%,15
7/27/2020,Fox Valley,13.333333333%,17
7/28/2020,Fox Valley,35.294117647%,23
7/29/2020,Fox Valley,8.695652174%,25
7/30/2020,Fox Valley,-8%,23
7/31/2020,Fox Valley,-4.347826087%,22
8/1/2020,Fox Valley,-9.090909091%,20
8/2/2020,Fox Valley,5%,21
8/3/2020,Fox Valley,-9.523809524%,19
8/4/2020,Fox Valley,-21.052631579%,15
8/5/2020,Fox Valley,40%,21
8/6/2020,Fox Valley,-9.523809524%,19
8/7/2020,Fox Valley,15.789473684%,22
8/8/2020,Fox Valley,-27.272727273%,16
8/9/2020,Fox Valley,12.5%,18
8/10/2020,Fox Valley,33.333333333%,24
8/11/2020,Fox Valley,-4.166666667%,23
8/12/2020,Fox Valley,-13.043478261%,20
8/13/2020,Fox Valley,10%,22
8/14/2020,Fox Valley,-4.545454545%,21
8/15/2020,Fox Valley,-9.523809524%,19
8/16/2020,Fox Valley,10.526315789%,21
8/17/2020,Fox Valley,-4.761904762%,20
8/18/2020,Fox Valley,20%,24
8/19/2020,Fox Valley,-4.166666667%,23
8/20/2020,Fox Valley,-17.391304348%,19
8/21/2020,Fox Valley,-10.526315789%,17
8/22/2020,Fox Valley,-29.411764706%,12
8/23/2020,Fox Valley,16.666666667%,14
8/24/2020,Fox Valley,0%,14
8/25/2020,Fox Valley,7.142857143%,15
8/26/2020,Fox Valley,0%,15
8/27/2020,Fox Valley,6.666666667%,16
8/28/2020,Fox Valley,-18.75%,13
8/29/2020,Fox Valley,0%,13
8/30/2020,Fox Valley,53.846153846%,20
8/31/2020,Fox Valley,20%,24
9/1/2020,Fox Valley,0%,24
9/2/2020,Fox Valley,0%,24
9/3/2020,Fox Valley,33.333333333%,32
9/4/2020,Fox Valley,-12.5%,28
9/5/2020,Fox Valley,25%,35
9/6/2020,Fox Valley,-5.714285714%,33
9/7/2020,Fox Valley,3.030303030%,34
9/8/2020,Fox Valley,5.882352941%,36
9/9/2020,Fox Valley,11.111111111%,40
9/10/2020,Fox Valley,15%,46
9/11/2020,Fox Valley,6.521739130%,49
9/12/2020,Fox Valley,4.081632653%,51
9/13/2020,Fox Valley,1.960784314%,52
9/14/2020,Fox Valley,9.615384615%,57
9/15/2020,Fox Valley,-3.508771930%,55
9/16/2020,Fox Valley,9.090909091%,60
9/17/2020,Fox Valley,-8.333333333%,55
9/18/2020,Fox Valley,3.636363636%,57
9/19/2020,Fox Valley,5.263157895%,60
9/20/2020,Fox Valley,15%,69
9/21/2020,Fox Valley,4.347826087%,72
9/22/2020,Fox Valley,9.722222222%,79
9/23/2020,Fox Valley,2.531645570%,81
9/24/2020,Fox Valley,2.469135802%,83
3/30/2020,South Central,,
3/31/2020,South Central,,18
4/1/2020,South Central,94.444444444%,35
4/2/2020,South Central,25.714285714%,44
4/3/2020,South Central,6.818181818%,47
4/4/2020,South Central,12.765957447%,53
4/5/2020,South Central,24.528301887%,66
4/6/2020,South Central,4.545454545%,69
4/7/2020,South Central,-5.797101449%,65
4/8/2020,South Central,6.153846154%,69
4/9/2020,South Central,-4.347826087%,66
4/10/2020,South Central,-4.545454545%,63
4/11/2020,South Central,-6.349206349%,59
4/12/2020,South Central,0%,59
4/13/2020,South Central,-1.694915254%,58
4/14/2020,South Central,0%,58
4/15/2020,South Central,-17.241379310%,48
4/16/2020,South Central,2.083333333%,49
4/17/2020,South Central,-8.163265306%,45
4/18/2020,South Central,4.444444444%,47
4/19/2020,South Central,-2.127659574%,46
4/20/2020,South Central,-2.173913043%,45
4/21/2020,South Central,-11.111111111%,40
4/22/2020,South Central,-2.5%,39
4/23/2020,South Central,2.564102564%,40
4/24/2020,South Central,12.5%,45
4/25/2020,South Central,-4.444444444%,43
4/26/2020,South Central,-4.651162791%,41
4/27/2020,South Central,12.195121951%,46
4/28/2020,South Central,-8.695652174%,42
4/29/2020,South Central,-9.523809524%,38
4/30/2020,South Central,2.631578947%,39
5/1/2020,South Central,-7.692307692%,36
5/2/2020,South Central,-2.777777778%,35
5/3/2020,South Central,-5.714285714%,33
5/4/2020,South Central,-27.272727273%,24
5/5/2020,South Central,16.666666667%,28
5/6/2020,South Central,-3.571428571%,27
5/7/2020,South Central,51.851851852%,41
5/8/2020,South Central,4.878048780%,43
5/9/2020,South Central,-4.651162791%,41
5/10/2020,South Central,-9.756097561%,37
5/11/2020,South Central,5.405405405%,39
5/12/2020,South Central,-12.820512821%,34
5/13/2020,South Central,8.823529412%,37
5/14/2020,South Central,2.702702703%,38
5/15/2020,South Central,13.157894737%,43
5/16/2020,South Central,-4.651162791%,41
5/17/2020,South Central,4.878048780%,43
5/18/2020,South Central,2.325581395%,44
5/19/2020,South Central,6.818181818%,47
5/20/2020,South Central,2.127659574%,48
5/21/2020,South Central,4.166666667%,50
5/22/2020,South Central,4%,52
5/23/2020,South Central,1.923076923%,53
5/24/2020,South Central,-3.773584906%,51
5/25/2020,South Central,-3.921568627%,49
5/26/2020,South Central,18.367346939%,58
5/27/2020,South Central,3.448275862%,60
5/28/2020,South Central,-15%,51
5/29/2020,South Central,3.921568627%,53
5/30/2020,South Central,0%,53
5/31/2020,South Central,5.660377358%,56
6/1/2020,South Central,-7.142857143%,52
6/2/2020,South Central,0%,52
6/3/2020,South Central,-1.923076923%,51
6/4/2020,South Central,-7.843137255%,47
6/5/2020,South Central,-21.276595745%,37
6/6/2020,South Central,-8.108108108%,34
6/7/2020,South Central,-5.882352941%,32
6/8/2020,South Central,6.25%,34
6/9/2020,South Central,20.588235294%,41
6/10/2020,South Central,14.634146341%,47
6/11/2020,South Central,0%,47
6/12/2020,South Central,-21.276595745%,37
6/13/2020,South Central,-10.810810811%,33
6/14/2020,South Central,-3.030303030%,32
6/15/2020,South Central,-6.25%,30
6/16/2020,South Central,6.666666667%,32
6/17/2020,South Central,-3.125%,31
6/18/2020,South Central,9.677419355%,34
6/19/2020,South Central,5.882352941%,36
6/20/2020,South Central,-8.333333333%,33
6/21/2020,South Central,9.090909091%,36
6/22/2020,South Central,0%,36
6/23/2020,South Central,-16.666666667%,30
6/24/2020,South Central,0%,30
6/25/2020,South Central,-3.333333333%,29
6/26/2020,South Central,17.241379310%,34
6/27/2020,South Central,8.823529412%,37
6/28/2020,South Central,-10.810810811%,33
6/29/2020,South Central,0%,33
6/30/2020,South Central,-3.030303030%,32
7/1/2020,South Central,-3.125%,31
7/2/2020,South Central,-3.225806452%,30
7/3/2020,South Central,6.666666667%,32
7/4/2020,South Central,-6.25%,30
7/5/2020,South Central,10%,33
7/6/2020,South Central,6.060606061%,35
7/7/2020,South Central,2.857142857%,36
7/8/2020,South Central,2.777777778%,37
7/9/2020,South Central,16.216216216%,43
7/10/2020,South Central,-6.976744186%,40
7/11/2020,South Central,2.5%,41
7/12/2020,South Central,0%,41
7/13/2020,South Central,9.756097561%,45
7/14/2020,South Central,-2.222222222%,44
7/15/2020,South Central,6.818181818%,47
7/16/2020,South Central,-4.255319149%,45
7/17/2020,South Central,13.333333333%,51
7/18/2020,South Central,-3.921568627%,49
7/19/2020,South Central,2.040816327%,50
7/20/2020,South Central,-2%,49
7/21/2020,South Central,-8.163265306%,45
7/22/2020,South Central,-15.555555556%,38
7/23/2020,South Central,7.894736842%,41
7/24/2020,South Central,9.756097561%,45
7/25/2020,South Central,-22.222222222%,35
7/26/2020,South Central,5.714285714%,37
7/27/2020,South Central,-2.702702703%,36
7/28/2020,South Central,-13.888888889%,31
7/29/2020,South Central,22.580645161%,38
7/30/2020,South Central,2.631578947%,39
7/31/2020,South Central,-23.076923077%,30
8/1/2020,South Central,16.666666667%,35
8/2/2020,South Central,20%,42
8/3/2020,South Central,-4.761904762%,40
8/4/2020,South Central,-7.5%,37
8/5/2020,South Central,8.108108108%,40
8/6/2020,South Central,-5%,38
8/7/2020,South Central,2.631578947%,39
8/8/2020,South Central,10.256410256%,43
8/9/2020,South Central,2.325581395%,44
8/10/2020,South Central,15.909090909%,51
8/11/2020,South Central,-9.803921569%,46
8/12/2020,South Central,13.043478261%,52
8/13/2020,South Central,-1.923076923%,51
8/14/2020,South Central,-19.607843137%,41
8/15/2020,South Central,-9.756097561%,37
8/16/2020,South Central,-18.918918919%,30
8/17/2020,South Central,40%,42
8/18/2020,South Central,-2.380952381%,41
8/19/2020,South Central,4.878048780%,43
8/20/2020,South Central,0%,43
8/21/2020,South Central,-23.255813953%,33
8/22/2020,South Central,3.030303030%,34
8/23/2020,South Central,20.588235294%,41
8/24/2020,South Central,21.951219512%,50
8/25/2020,South Central,6%,53
8/26/2020,South Central,-20.754716981%,42
8/27/2020,South Central,4.761904762%,44
8/28/2020,South Central,-9.090909091%,40
8/29/2020,South Central,-7.5%,37
8/30/2020,South Central,0%,37
8/31/2020,South Central,-8.108108108%,34
9/1/2020,South Central,0%,34
9/2/2020,South Central,17.647058824%,40
9/3/2020,South Central,20%,48
9/4/2020,South Central,-4.166666667%,46
