,,,,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc
New Age Groups,Measure toggle for title,Day of DATE,,29-Mar,5-Apr,12-Apr,19-Apr,26-Apr,3-May,10-May,17-May,24-May,31-May,7-Jun,14-Jun,21-Jun,28-Jun,5-Jul,12-Jul,19-Jul,26-Jul,2-Aug,9-Aug,16-Aug,23-Aug,30-Aug,6-Sep,13-Sep,20-Sep,27-Sep,4-Oct,11-Oct,18-Oct,25-Oct,1-Nov,8-Nov,15-Nov,22-Nov,29-Nov,6-Dec,13-Dec,20-Dec,27-Dec,3-Jan,10-Jan,17-Jan,24-Jan,31-Jan,7-Feb,14-Feb,21-Feb,28-Feb,7-Mar,14-Mar,21-Mar,28-Mar,4-Apr
<18,rate,7-Apr-21,Distinct count of Incident ID,9,21,50,99,138,192,286,383,250,293,226,249,327,416,601,730,659,627,482,452,409,459,510,763,"1,353","1,684","1,712","2,163","2,527","3,102","4,075","5,608","5,047","3,791","2,793","3,250","2,739","2,434","1,677","1,537","2,433","1,858","1,526","1,358","1,023",826,738,649,627,586,695,773,669,103
<18,rate,7-Apr-21,Measure toggle,1,2,4,8,11,15,22,30,20,23,18,20,26,33,47,57,52,49,38,36,32,36,40,60,106,132,135,170,199,244,320,441,397,298,220,255,215,191,132,121,191,146,120,107,80,65,58,51,49,46,55,61,53,8
<18,rate,7-Apr-21,case rate by age for 100K ,1,2,4,8,11,15,22,30,20,23,18,20,26,33,47,57,52,49,38,36,32,36,40,60,106,132,135,170,199,244,320,441,397,298,220,255,215,191,132,121,191,146,120,107,80,65,58,51,49,46,55,61,53,8
18-24,rate,7-Apr-21,Distinct count of Incident ID,49,91,151,271,281,309,461,442,412,518,482,726,"1,269","1,216","1,425","1,271",985,941,"1,061",823,808,"1,239","2,556","4,290","3,654","2,576","2,177","2,494","2,632","3,081","4,199","6,207","5,248","3,790","2,676","2,809","2,106","1,759","1,400","1,190","2,035","1,361","1,182","1,001",844,593,772,526,473,383,395,513,498,76
18-24,rate,7-Apr-21,Measure toggle,9,17,28,50,51,57,84,81,75,95,88,133,232,223,261,233,180,172,194,151,148,227,468,786,669,472,399,457,482,564,769,"1,137",961,694,490,515,386,322,256,218,373,249,217,183,155,109,141,96,87,70,72,94,91,14
18-24,rate,7-Apr-21,case rate by age for 100K ,9,17,28,50,51,57,84,81,75,95,88,133,232,223,261,233,180,172,194,151,148,227,468,786,669,472,399,457,482,564,769,"1,137",961,694,490,515,386,322,256,218,373,249,217,183,155,109,141,96,87,70,72,94,91,14
25-34,rate,7-Apr-21,Distinct count of Incident ID,83,165,296,414,466,459,619,709,575,487,426,508,759,"1,001","1,255","1,249","1,144","1,067",971,895,916,934,977,"1,181","2,028","2,955","3,011","3,717","3,891","4,879","5,940","7,911","7,185","5,163","3,666","4,317","3,114","2,548","2,049","1,820","2,768","1,924","1,478","1,180",871,653,582,462,495,516,546,672,640,100
25-34,rate,7-Apr-21,Measure toggle,11,23,40,57,64,63,84,97,78,66,58,69,104,137,171,170,156,146,133,122,125,127,133,161,277,403,411,507,531,666,811,"1,080",981,705,500,589,425,348,280,248,378,263,202,161,119,89,79,63,68,70,75,92,87,14
25-34,rate,7-Apr-21,case rate by age for 100K ,11,23,40,57,64,63,84,97,78,66,58,69,104,137,171,170,156,146,133,122,125,127,133,161,277,403,411,507,531,666,811,"1,080",981,705,500,589,425,348,280,248,378,263,202,161,119,89,79,63,68,70,75,92,87,14
35-44,rate,7-Apr-21,Distinct count of Incident ID,98,185,286,382,440,422,563,614,435,338,288,412,503,654,830,850,815,796,746,704,668,690,670,956,"1,629","2,399","2,704","3,205","3,488","4,236","5,671","7,277","6,706","4,721","3,547","3,901","2,932","2,436","1,939","1,685","2,381","1,788","1,477","1,193",851,623,589,529,514,469,563,618,524,99
35-44,rate,7-Apr-21,Measure toggle,14,26,41,55,63,60,80,88,62,48,41,59,72,93,119,121,116,114,107,101,95,99,96,137,233,343,386,458,498,605,810,"1,039",958,674,507,557,419,348,277,241,340,255,211,170,122,89,84,76,73,67,80,88,75,14
35-44,rate,7-Apr-21,case rate by age for 100K ,14,26,41,55,63,60,80,88,62,48,41,59,72,93,119,121,116,114,107,101,95,99,96,137,233,343,386,458,498,605,810,"1,039",958,674,507,557,419,348,277,241,340,255,211,170,122,89,84,76,73,67,80,88,75,14
