,,,,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc
New Age Groups,Measure toggle for title,Day of DATE,,29-Mar,5-Apr,12-Apr,19-Apr,26-Apr,3-May,10-May,17-May,24-May,31-May,7-Jun,14-Jun,21-Jun,28-Jun,5-Jul,12-Jul,19-Jul,26-Jul,2-Aug,9-Aug,16-Aug,23-Aug,30-Aug,6-Sep,13-Sep,20-Sep,27-Sep,4-Oct,11-Oct,18-Oct,25-Oct,1-Nov,8-Nov,15-Nov,22-Nov,29-Nov,6-Dec,13-Dec,20-Dec,27-Dec,3-Jan,10-Jan,17-Jan,24-Jan,31-Jan,7-Feb,14-Feb,21-Feb,28-Feb,7-Mar,14-Mar,21-Mar,28-Mar,4-Apr,11-Apr
<18,rate,16-Apr-21,Distinct count of Incident ID,9,21,50,99,137,192,286,383,250,293,226,249,327,417,602,730,660,626,482,452,409,459,510,763,"1,353","1,684","1,712","2,163","2,529","3,100","4,074","5,613","5,051","3,797","2,790","3,247","2,738","2,434","1,674","1,538","2,433","1,856","1,525","1,358","1,024",826,738,649,628,586,699,789,871,953,357
<18,rate,16-Apr-21,Measure toggle,1,2,4,8,11,15,22,30,20,23,18,20,26,33,47,57,52,49,38,36,32,36,40,60,106,132,135,170,199,244,320,441,397,298,219,255,215,191,132,121,191,146,120,107,80,65,58,51,49,46,55,62,68,75,28
<18,rate,16-Apr-21,case rate by age for 100K ,1,2,4,8,11,15,22,30,20,23,18,20,26,33,47,57,52,49,38,36,32,36,40,60,106,132,135,170,199,244,320,441,397,298,219,255,215,191,132,121,191,146,120,107,80,65,58,51,49,46,55,62,68,75,28
18-24,rate,16-Apr-21,Distinct count of Incident ID,50,91,151,271,281,309,461,441,412,518,483,726,"1,270","1,216","1,425","1,270",986,941,"1,062",823,808,"1,238","2,556","4,287","3,656","2,581","2,178","2,495","2,628","3,084","4,200","6,200","5,255","3,798","2,672","2,809","2,104","1,758","1,399","1,188","2,034","1,358","1,183","1,001",844,593,773,525,473,385,398,538,616,632,262
18-24,rate,16-Apr-21,Measure toggle,9,17,28,50,51,57,84,81,75,95,88,133,233,223,261,233,181,172,195,151,148,227,468,785,670,473,399,457,481,565,769,"1,136",963,696,489,515,385,322,256,218,373,249,217,183,155,109,142,96,87,71,73,99,113,116,48
18-24,rate,16-Apr-21,case rate by age for 100K ,9,17,28,50,51,57,84,81,75,95,88,133,233,223,261,233,181,172,195,151,148,227,468,785,670,473,399,457,481,565,769,"1,136",963,696,489,515,385,322,256,218,373,249,217,183,155,109,142,96,87,71,73,99,113,116,48
25-34,rate,16-Apr-21,Distinct count of Incident ID,83,165,296,414,466,459,618,709,575,487,425,508,760,"1,001","1,255","1,250","1,144","1,067",972,895,915,935,976,"1,182","2,030","2,958","3,008","3,718","3,888","4,878","5,942","7,913","7,190","5,163","3,664","4,315","3,112","2,547","2,047","1,819","2,768","1,923","1,477","1,180",870,653,583,461,494,517,546,697,814,806,332
25-34,rate,16-Apr-21,Measure toggle,11,23,40,57,64,63,84,97,78,66,58,69,104,137,171,171,156,146,133,122,125,128,133,161,277,404,411,508,531,666,811,"1,080",981,705,500,589,425,348,279,248,378,262,202,161,119,89,80,63,67,71,75,95,111,110,45
25-34,rate,16-Apr-21,case rate by age for 100K ,11,23,40,57,64,63,84,97,78,66,58,69,104,137,171,171,156,146,133,122,125,128,133,161,277,404,411,508,531,666,811,"1,080",981,705,500,589,425,348,279,248,378,262,202,161,119,89,80,63,67,71,75,95,111,110,45
