Day of Epi Dt,Measure Names,7 Day Average (conf+prob) (TT),7 Day Average (conf+prob),7 Day Average (conf+prob),Prelim end date,Prelim start date,7 Day Average (TT Text),County Parameter Cum Curve,Max. Window Max Daily Cases,Measure Values,Confirmed Cases By Epi Dt,Probable By Epi Dt,Stacked Confirm + Probable cases
5-Jan-21,Probable cases,1370,1370,,1/6/2021,12/23/2020,confirmed plus probable cases,Wisconsin,9616,128,190,128,318
4-Jan-21,Probable cases,1717,1717,,1/5/2021,12/22/2020,confirmed plus probable cases,Wisconsin,9616,441,1292,441,1733
3-Jan-21,Probable cases,1971,1971,,1/4/2021,12/21/2020,confirmed plus probable cases,Wisconsin,9616,174,703,174,877
2-Jan-21,Probable cases,2136,2136,,1/3/2021,12/20/2020,confirmed plus probable cases,Wisconsin,9616,172,1430,172,1602
1-Jan-21,Probable cases,2226,2226,,1/2/2021,12/19/2020,confirmed plus probable cases,Wisconsin,9616,173,667,173,840
31-Dec-20,Probable cases,2297,2297,,1/1/2021,12/18/2020,confirmed plus probable cases,Wisconsin,9616,235,1595,235,1830
30-Dec-20,Probable cases,2280,2280,,12/31/2020,12/17/2020,confirmed plus probable cases,Wisconsin,9616,282,2109,282,2391
29-Dec-20,Probable cases,2311,2311,,12/30/2020,12/16/2020,confirmed plus probable cases,Wisconsin,9616,321,2428,321,2749
28-Dec-20,Probable cases,2295,2295,,12/29/2020,12/15/2020,confirmed plus probable cases,Wisconsin,9616,400,3112,400,3512
27-Dec-20,Probable cases,2260,2260,,12/28/2020,12/14/2020,confirmed plus probable cases,Wisconsin,9616,257,1775,257,2032
26-Dec-20,Probable cases,2223,2223,,12/27/2020,12/13/2020,confirmed plus probable cases,Wisconsin,9616,248,1980,248,2228
25-Dec-20,Probable cases,2192,2192,,12/26/2020,12/12/2020,confirmed plus probable cases,Wisconsin,9616,143,1197,143,1340
24-Dec-20,Probable cases,2381,2381,,12/25/2020,12/11/2020,confirmed plus probable cases,Wisconsin,9616,211,1499,211,1710
23-Dec-20,Probable cases,2546,2546,,12/24/2020,12/10/2020,confirmed plus probable cases,Wisconsin,9616,347,2261,347,2608
22-Dec-20,Probable cases,2600,2600,,12/23/2020,12/9/2020,confirmed plus probable cases,Wisconsin,9616,323,2313,323,2636
21-Dec-20,Probable cases,2701,2701,,12/22/2020,12/8/2020,confirmed plus probable cases,Wisconsin,9616,473,2795,473,3268
20-Dec-20,Probable cases,2803,2803,,12/21/2020,12/7/2020,confirmed plus probable cases,Wisconsin,9616,243,1530,243,1773
19-Dec-20,Probable cases,2867,2867,,12/20/2020,12/6/2020,confirmed plus probable cases,Wisconsin,9616,277,1737,277,2014
18-Dec-20,Probable cases,2951,2951,,12/19/2020,12/5/2020,confirmed plus probable cases,Wisconsin,9616,399,2265,399,2664
17-Dec-20,Probable cases,3068,3068,,12/18/2020,12/4/2020,confirmed plus probable cases,Wisconsin,9616,463,2400,463,2863
16-Dec-20,Probable cases,3128,3128,,12/17/2020,12/3/2020,confirmed plus probable cases,Wisconsin,9616,473,2509,473,2982
15-Dec-20,Probable cases,3213,3213,,12/16/2020,12/2/2020,confirmed plus probable cases,Wisconsin,9616,538,2808,538,3346
14-Dec-20,Probable cases,3277,3277,,12/15/2020,12/1/2020,confirmed plus probable cases,Wisconsin,9616,657,3325,657,3982
13-Dec-20,Probable cases,3381,3381,,12/14/2020,11/30/2020,confirmed plus probable cases,Wisconsin,9616,324,1895,324,2219
12-Dec-20,Probable cases,3413,3413,,12/13/2020,11/29/2020,confirmed plus probable cases,Wisconsin,9616,320,2285,320,2605
11-Dec-20,Probable cases,3429,3429,,12/12/2020,11/28/2020,confirmed plus probable cases,Wisconsin,9616,479,3005,479,3484
10-Dec-20,Probable cases,3474,3474,,12/11/2020,11/27/2020,confirmed plus probable cases,Wisconsin,9616,474,2808,474,3282
9-Dec-20,Probable cases,3580,3580,,12/10/2020,11/26/2020,confirmed plus probable cases,Wisconsin,9616,502,3076,502,3578
8-Dec-20,Probable cases,3732,3732,,12/9/2020,11/25/2020,confirmed plus probable cases,Wisconsin,9616,507,3286,507,3793
7-Dec-20,Probable cases,3911,3911,,12/8/2020,11/24/2020,confirmed plus probable cases,Wisconsin,9616,651,4058,651,4709
6-Dec-20,Probable cases,4126,4126,,12/7/2020,11/23/2020,confirmed plus probable cases,Wisconsin,9616,295,2151,295,2446
5-Dec-20,Probable cases,4244,4244,,12/6/2020,11/22/2020,confirmed plus probable cases,Wisconsin,9616,299,2412,299,2711
4-Dec-20,Probable cases,4318,4318,,12/5/2020,11/21/2020,confirmed plus probable cases,Wisconsin,9616,520,3279,520,3799
3-Dec-20,Probable cases,4362,4362,,12/4/2020,11/20/2020,confirmed plus probable cases,Wisconsin,9616,622,3408,622,4030
2-Dec-20,Probable cases,4094,4094,,12/3/2020,11/19/2020,confirmed plus probable cases,Wisconsin,9616,636,4000,636,4636
1-Dec-20,Probable cases,4067,4067,,12/2/2020,11/18/2020,confirmed plus probable cases,Wisconsin,9616,638,4408,638,5046
30-Nov-20,Probable cases,4023,4023,,12/1/2020,11/17/2020,confirmed plus probable cases,Wisconsin,9616,710,5507,710,6217
29-Nov-20,Probable cases,3882,3882,,11/30/2020,11/16/2020,confirmed plus probable cases,Wisconsin,9616,321,2952,321,3273
28-Nov-20,Probable cases,3797,3797,,11/29/2020,11/15/2020,confirmed plus probable cases,Wisconsin,9616,264,2965,264,3229
27-Nov-20,Probable cases,3795,3795,,11/28/2020,11/14/2020,confirmed plus probable cases,Wisconsin,9616,342,3763,342,4105
26-Nov-20,Probable cases,3877,3877,,11/27/2020,11/13/2020,confirmed plus probable cases,Wisconsin,9616,212,1940,212,2152
25-Nov-20,Probable cases,4285,4285,,11/26/2020,11/12/2020,confirmed plus probable cases,Wisconsin,9616,460,3989,460,4449
24-Nov-20,Probable cases,4462,4462,,11/25/2020,11/11/2020,confirmed plus probable cases,Wisconsin,9616,473,4268,473,4741
23-Nov-20,Probable cases,4666,4666,,11/24/2020,11/10/2020,confirmed plus probable cases,Wisconsin,9616,565,4662,565,5227
22-Nov-20,Probable cases,4937,4937,,11/23/2020,11/9/2020,confirmed plus probable cases,Wisconsin,9616,235,2442,235,2677
21-Nov-20,Probable cases,5073,5073,,11/22/2020,11/8/2020,confirmed plus probable cases,Wisconsin,9616,311,2905,311,3216
20-Nov-20,Probable cases,5209,5209,,11/21/2020,11/7/2020,confirmed plus probable cases,Wisconsin,9616,566,4113,566,4679
19-Nov-20,Probable cases,5452,5452,,11/20/2020,11/6/2020,confirmed plus probable cases,Wisconsin,9616,546,4466,546,5012
18-Nov-20,Probable cases,5785,5785,,11/19/2020,11/5/2020,confirmed plus probable cases,Wisconsin,9616,595,5087,595,5682
17-Nov-20,Probable cases,5951,5951,,11/18/2020,11/4/2020,confirmed plus probable cases,Wisconsin,9616,631,5538,631,6169
16-Nov-20,Probable cases,6262,6262,,11/17/2020,11/3/2020,confirmed plus probable cases,Wisconsin,9616,723,6405,723,7128
15-Nov-20,Probable cases,6618,6618,,11/16/2020,11/2/2020,confirmed plus probable cases,Wisconsin,9616,309,3322,309,3631
14-Nov-20,Probable cases,6771,6771,,11/15/2020,11/1/2020,confirmed plus probable cases,Wisconsin,9616,335,3832,335,4167
13-Nov-20,Probable cases,6952,6952,,11/14/2020,10/31/2020,confirmed plus probable cases,Wisconsin,9616,648,5729,648,6377
12-Nov-20,Probable cases,7159,7159,,11/13/2020,10/30/2020,confirmed plus probable cases,Wisconsin,9616,742,6601,742,7343
11-Nov-20,Probable cases,7206,7206,,11/12/2020,10/29/2020,confirmed plus probable cases,Wisconsin,9616,739,6105,739,6844
10-Nov-20,Probable cases,7389,7389,,11/11/2020,10/28/2020,confirmed plus probable cases,Wisconsin,9616,521,7827,521,8348
9-Nov-20,Probable cases,7371,7371,,11/10/2020,10/27/2020,confirmed plus probable cases,Wisconsin,9616,635,8981,635,9616
8-Nov-20,Probable cases,7230,7230,,11/9/2020,10/26/2020,confirmed plus probable cases,Wisconsin,9616,278,4429,278,4707
7-Nov-20,Probable cases,7212,7212,,11/8/2020,10/25/2020,confirmed plus probable cases,Wisconsin,9616,295,5137,295,5432
6-Nov-20,Probable cases,7052,7052,,11/7/2020,10/24/2020,confirmed plus probable cases,Wisconsin,9616,414,7411,414,7825
5-Nov-20,Probable cases,6774,6774,,11/6/2020,10/23/2020,confirmed plus probable cases,Wisconsin,9616,422,7250,422,7672
4-Nov-20,Probable cases,6513,6513,,11/5/2020,10/22/2020,confirmed plus probable cases,Wisconsin,9616,374,7749,374,8123
3-Nov-20,Probable cases,6244,6244,,11/4/2020,10/21/2020,confirmed plus probable cases,Wisconsin,9616,381,7841,381,8222
2-Nov-20,Probable cases,5958,5958,,11/3/2020,10/20/2020,confirmed plus probable cases,Wisconsin,9616,417,8217,417,8634
1-Nov-20,Probable cases,5631,5631,,11/2/2020,10/19/2020,confirmed plus probable cases,Wisconsin,9616,252,4328,252,4580
31-Oct-20,Probable cases,5435,5435,,11/1/2020,10/18/2020,confirmed plus probable cases,Wisconsin,9616,173,4140,173,4313
30-Oct-20,Probable cases,5305,5305,,10/31/2020,10/17/2020,confirmed plus probable cases,Wisconsin,9616,296,5583,296,5879
29-Oct-20,Probable cases,5133,5133,,10/30/2020,10/16/2020,confirmed plus probable cases,Wisconsin,9616,310,5536,310,5846
28-Oct-20,Probable cases,4968,4968,,10/29/2020,10/15/2020,confirmed plus probable cases,Wisconsin,9616,255,5984,255,6239
27-Oct-20,Probable cases,4785,4785,,10/28/2020,10/14/2020,confirmed plus probable cases,Wisconsin,9616,305,5910,305,6215
26-Oct-20,Probable cases,4586,4586,,10/27/2020,10/13/2020,confirmed plus probable cases,Wisconsin,9616,305,6040,305,6345
25-Oct-20,Probable cases,4400,4400,,10/26/2020,10/12/2020,confirmed plus probable cases,Wisconsin,9616,199,3010,199,3209
24-Oct-20,Probable cases,4306,4306,,10/25/2020,10/11/2020,confirmed plus probable cases,Wisconsin,9616,180,3224,180,3404
23-Oct-20,Probable cases,4190,4190,,10/24/2020,10/10/2020,confirmed plus probable cases,Wisconsin,9616,278,4397,278,4675
22-Oct-20,Probable cases,4054,4054,,10/23/2020,10/9/2020,confirmed plus probable cases,Wisconsin,9616,290,4404,290,4694
21-Oct-20,Probable cases,3938,3938,,10/22/2020,10/8/2020,confirmed plus probable cases,Wisconsin,9616,243,4711,243,4954
20-Oct-20,Probable cases,3794,3794,,10/21/2020,10/7/2020,confirmed plus probable cases,Wisconsin,9616,214,4607,214,4821
19-Oct-20,Probable cases,3665,3665,,10/20/2020,10/6/2020,confirmed plus probable cases,Wisconsin,9616,246,4798,246,5044
18-Oct-20,Probable cases,3568,3568,,10/19/2020,10/5/2020,confirmed plus probable cases,Wisconsin,9616,140,2411,140,2551
17-Oct-20,Probable cases,3545,3545,,10/18/2020,10/4/2020,confirmed plus probable cases,Wisconsin,9616,127,2469,127,2596
16-Oct-20,Probable cases,3533,3533,,10/17/2020,10/3/2020,confirmed plus probable cases,Wisconsin,9616,191,3527,191,3718
15-Oct-20,Probable cases,3500,3500,,10/16/2020,10/2/2020,confirmed plus probable cases,Wisconsin,9616,260,3623,260,3883
14-Oct-20,Probable cases,3449,3449,,10/15/2020,10/1/2020,confirmed plus probable cases,Wisconsin,9616,224,3722,224,3946
13-Oct-20,Probable cases,3419,3419,,10/14/2020,9/30/2020,confirmed plus probable cases,Wisconsin,9616,213,3709,213,3922
12-Oct-20,Probable cases,3397,3397,,10/13/2020,9/29/2020,confirmed plus probable cases,Wisconsin,9616,244,4118,244,4362
11-Oct-20,Probable cases,3303,3303,,10/12/2020,9/28/2020,confirmed plus probable cases,Wisconsin,9616,153,2237,153,2390
10-Oct-20,Probable cases,3238,3238,,10/11/2020,9/27/2020,confirmed plus probable cases,Wisconsin,9616,106,2408,106,2514
9-Oct-20,Probable cases,3178,3178,,10/10/2020,9/26/2020,confirmed plus probable cases,Wisconsin,9616,203,3282,203,3485
8-Oct-20,Probable cases,3069,3069,,10/9/2020,9/25/2020,confirmed plus probable cases,Wisconsin,9616,180,3348,180,3528
7-Oct-20,Probable cases,2974,2974,,10/8/2020,9/24/2020,confirmed plus probable cases,Wisconsin,9616,185,3548,185,3733
6-Oct-20,Probable cases,2869,2869,,10/7/2020,9/23/2020,confirmed plus probable cases,Wisconsin,9616,169,3600,169,3769
5-Oct-20,Probable cases,2734,2734,,10/6/2020,9/22/2020,confirmed plus probable cases,Wisconsin,9616,173,3530,173,3703
4-Oct-20,Probable cases,2695,2695,,10/5/2020,9/21/2020,confirmed plus probable cases,Wisconsin,9616,84,1852,84,1936
3-Oct-20,Probable cases,2657,2657,,10/4/2020,9/20/2020,confirmed plus probable cases,Wisconsin,9616,76,2016,76,2092
2-Oct-20,Probable cases,2629,2629,,10/3/2020,9/19/2020,confirmed plus probable cases,Wisconsin,9616,129,2593,129,2722
1-Oct-20,Probable cases,2599,2599,,10/2/2020,9/18/2020,confirmed plus probable cases,Wisconsin,9616,104,2762,104,2866
30-Sep-20,Probable cases,2557,2557,,10/1/2020,9/17/2020,confirmed plus probable cases,Wisconsin,9616,100,2899,100,2999
29-Sep-20,Probable cases,2596,2596,,9/30/2020,9/16/2020,confirmed plus probable cases,Wisconsin,9616,102,2718,102,2820
28-Sep-20,Probable cases,2582,2582,,9/29/2020,9/15/2020,confirmed plus probable cases,Wisconsin,9616,132,3300,132,3432
27-Sep-20,Probable cases,2500,2500,,9/28/2020,9/14/2020,confirmed plus probable cases,Wisconsin,9616,64,1607,64,1671
26-Sep-20,Probable cases,2475,2475,,9/27/2020,9/13/2020,confirmed plus probable cases,Wisconsin,9616,69,1830,69,1899
25-Sep-20,Probable cases,2433,2433,,9/26/2020,9/12/2020,confirmed plus probable cases,Wisconsin,9616,91,2419,91,2510
24-Sep-20,Probable cases,2364,2364,,9/25/2020,9/11/2020,confirmed plus probable cases,Wisconsin,9616,95,2475,95,2570
23-Sep-20,Probable cases,2302,2302,,9/24/2020,9/10/2020,confirmed plus probable cases,Wisconsin,9616,100,3173,100,3273
22-Sep-20,Probable cases,2178,2178,,9/23/2020,9/9/2020,confirmed plus probable cases,Wisconsin,9616,106,2613,106,2719
21-Sep-20,Probable cases,2111,2111,,9/22/2020,9/8/2020,confirmed plus probable cases,Wisconsin,9616,143,2715,143,2858
20-Sep-20,Probable cases,2036,2036,,9/21/2020,9/7/2020,confirmed plus probable cases,Wisconsin,9616,57,1439,57,1496
19-Sep-20,Probable cases,2002,2002,,9/20/2020,9/6/2020,confirmed plus probable cases,Wisconsin,9616,68,1539,68,1607
18-Sep-20,Probable cases,1954,1954,,9/19/2020,9/5/2020,confirmed plus probable cases,Wisconsin,9616,137,1891,137,2028
17-Sep-20,Probable cases,1907,1907,,9/18/2020,9/4/2020,confirmed plus probable cases,Wisconsin,9616,112,2024,112,2136
16-Sep-20,Probable cases,1850,1850,,9/17/2020,9/3/2020,confirmed plus probable cases,Wisconsin,9616,130,2277,130,2407
15-Sep-20,Probable cases,1768,1768,,9/16/2020,9/2/2020,confirmed plus probable cases,Wisconsin,9616,119,2128,119,2247
14-Sep-20,Probable cases,1726,1726,,9/15/2020,9/1/2020,confirmed plus probable cases,Wisconsin,9616,117,2219,117,2336
13-Sep-20,Probable cases,1561,1561,,9/14/2020,8/31/2020,confirmed plus probable cases,Wisconsin,9616,48,1208,48,1256
12-Sep-20,Probable cases,1507,1507,,9/13/2020,8/30/2020,confirmed plus probable cases,Wisconsin,9616,55,1216,55,1271
11-Sep-20,Probable cases,1450,1450,,9/12/2020,8/29/2020,confirmed plus probable cases,Wisconsin,9616,115,1583,115,1698
10-Sep-20,Probable cases,1366,1366,,9/11/2020,8/28/2020,confirmed plus probable cases,Wisconsin,9616,93,1648,93,1741
9-Sep-20,Probable cases,1275,1275,,9/10/2020,8/27/2020,confirmed plus probable cases,Wisconsin,9616,90,1738,90,1828
8-Sep-20,Probable cases,1172,1172,,9/9/2020,8/26/2020,confirmed plus probable cases,Wisconsin,9616,76,1881,76,1957
7-Sep-20,Probable cases,1063,1063,,9/8/2020,8/25/2020,confirmed plus probable cases,Wisconsin,9616,43,1136,43,1179
6-Sep-20,Probable cases,1051,1051,,9/7/2020,8/24/2020,confirmed plus probable cases,Wisconsin,9616,31,846,31,877
5-Sep-20,Probable cases,1013,1013,,9/6/2020,8/23/2020,confirmed plus probable cases,Wisconsin,9616,20,852,20,872
4-Sep-20,Probable cases,974,974,,9/5/2020,8/22/2020,confirmed plus probable cases,Wisconsin,9616,58,1053,58,1111
3-Sep-20,Probable cases,930,930,,9/4/2020,8/21/2020,confirmed plus probable cases,Wisconsin,9616,54,1053,54,1107
2-Sep-20,Probable cases,897,897,,9/3/2020,8/20/2020,confirmed plus probable cases,Wisconsin,9616,51,1051,51,1102
1-Sep-20,Probable cases,866,866,,9/2/2020,8/19/2020,confirmed plus probable cases,Wisconsin,9616,35,1161,35,1196
31-Aug-20,Probable cases,830,830,,9/1/2020,8/18/2020,confirmed plus probable cases,Wisconsin,9616,31,1064,31,1095
30-Aug-20,Probable cases,798,798,,8/31/2020,8/17/2020,confirmed plus probable cases,Wisconsin,9616,15,595,15,610
29-Aug-20,Probable cases,787,787,,8/30/2020,8/16/2020,confirmed plus probable cases,Wisconsin,9616,21,578,21,599
28-Aug-20,Probable cases,774,774,,8/29/2020,8/15/2020,confirmed plus probable cases,Wisconsin,9616,47,760,47,807
27-Aug-20,Probable cases,755,755,,8/28/2020,8/14/2020,confirmed plus probable cases,Wisconsin,9616,31,842,31,873
26-Aug-20,Probable cases,722,722,,8/27/2020,8/13/2020,confirmed plus probable cases,Wisconsin,9616,43,842,43,885
25-Aug-20,Probable cases,705,705,,8/26/2020,8/12/2020,confirmed plus probable cases,Wisconsin,9616,41,905,41,946
24-Aug-20,Probable cases,694,694,,8/25/2020,8/11/2020,confirmed plus probable cases,Wisconsin,9616,23,844,23,867
