Day of Epi Dt,Measure Names,7 Day Average (conf+prob) (TT),7 Day Average (conf+prob),7 Day Average (conf+prob),Prelim end date,Prelim start date,7 Day Average (TT Text),County Parameter Cum Curve,Max. Window Max Daily Cases,Measure Values,Confirmed Cases By Epi Dt,Probable By Epi Dt,Stacked Confirm + Probable cases
24-Feb-21,Probable cases,395,395,,2/25/2021,2/11/2021,confirmed plus probable cases,Wisconsin,9574,37,51,37,88
23-Feb-21,Probable cases,485,485,,2/24/2021,2/10/2021,confirmed plus probable cases,Wisconsin,9574,82,242,82,324
22-Feb-21,Probable cases,552,552,,2/23/2021,2/9/2021,confirmed plus probable cases,Wisconsin,9574,86,445,86,531
21-Feb-21,Probable cases,594,594,,2/22/2021,2/8/2021,confirmed plus probable cases,Wisconsin,9574,41,213,41,254
20-Feb-21,Probable cases,633,633,,2/21/2021,2/7/2021,confirmed plus probable cases,Wisconsin,9574,49,289,49,338
19-Feb-21,Probable cases,661,661,,2/20/2021,2/6/2021,confirmed plus probable cases,Wisconsin,9574,107,444,107,551
18-Feb-21,Probable cases,679,679,,2/19/2021,2/5/2021,confirmed plus probable cases,Wisconsin,9574,101,579,101,680
17-Feb-21,Probable cases,679,679,,2/18/2021,2/4/2021,confirmed plus probable cases,Wisconsin,9574,114,603,114,717
16-Feb-21,Probable cases,711,711,,2/17/2021,2/3/2021,confirmed plus probable cases,Wisconsin,9574,132,666,132,798
15-Feb-21,Probable cases,729,729,,2/16/2021,2/2/2021,confirmed plus probable cases,Wisconsin,9574,151,674,151,825
14-Feb-21,Probable cases,751,751,,2/15/2021,2/1/2021,confirmed plus probable cases,Wisconsin,9574,56,468,56,524
13-Feb-21,Probable cases,767,767,,2/14/2021,1/31/2021,confirmed plus probable cases,Wisconsin,9574,84,453,84,537
12-Feb-21,Probable cases,789,789,,2/13/2021,1/30/2021,confirmed plus probable cases,Wisconsin,9574,108,566,108,674
11-Feb-21,Probable cases,830,830,,2/12/2021,1/29/2021,confirmed plus probable cases,Wisconsin,9574,105,579,105,684
10-Feb-21,Probable cases,872,872,,2/11/2021,1/28/2021,confirmed plus probable cases,Wisconsin,9574,112,826,112,938
9-Feb-21,Probable cases,904,904,,2/10/2021,1/27/2021,confirmed plus probable cases,Wisconsin,9574,136,790,136,926
8-Feb-21,Probable cases,941,941,,2/9/2021,1/26/2021,confirmed plus probable cases,Wisconsin,9574,150,828,150,978
7-Feb-21,Probable cases,1025,1025,,2/8/2021,1/25/2021,confirmed plus probable cases,Wisconsin,9574,103,534,103,637
6-Feb-21,Probable cases,1059,1059,,2/7/2021,1/24/2021,confirmed plus probable cases,Wisconsin,9574,98,589,98,687
5-Feb-21,Probable cases,1101,1101,,2/6/2021,1/23/2021,confirmed plus probable cases,Wisconsin,9574,150,816,150,966
4-Feb-21,Probable cases,1157,1157,,2/5/2021,1/22/2021,confirmed plus probable cases,Wisconsin,9574,133,843,133,976
3-Feb-21,Probable cases,1206,1206,,2/4/2021,1/21/2021,confirmed plus probable cases,Wisconsin,9574,184,977,184,1161
2-Feb-21,Probable cases,1265,1265,,2/3/2021,1/20/2021,confirmed plus probable cases,Wisconsin,9574,174,1011,174,1185
1-Feb-21,Probable cases,1310,1310,,2/2/2021,1/19/2021,confirmed plus probable cases,Wisconsin,9574,224,1341,224,1565
31-Jan-21,Probable cases,1358,1358,,2/1/2021,1/18/2021,confirmed plus probable cases,Wisconsin,9574,121,756,121,877
30-Jan-21,Probable cases,1394,1394,,1/31/2021,1/17/2021,confirmed plus probable cases,Wisconsin,9574,127,853,127,980
29-Jan-21,Probable cases,1433,1433,,1/30/2021,1/16/2021,confirmed plus probable cases,Wisconsin,9574,202,1159,202,1361
28-Jan-21,Probable cases,1469,1469,,1/29/2021,1/15/2021,confirmed plus probable cases,Wisconsin,9574,191,1125,191,1316
27-Jan-21,Probable cases,1534,1534,,1/28/2021,1/14/2021,confirmed plus probable cases,Wisconsin,9574,246,1328,246,1574
26-Jan-21,Probable cases,1575,1575,,1/27/2021,1/13/2021,confirmed plus probable cases,Wisconsin,9574,193,1304,193,1497
25-Jan-21,Probable cases,1656,1656,,1/26/2021,1/12/2021,confirmed plus probable cases,Wisconsin,9574,273,1634,273,1907
