Day of Epi Dt,7 Day Average (conf+prob) (TT),7 Day Average (conf+prob),7 Day Average (conf+prob),Prelim end date,Prelim start date,7 Day Average (TT Text),County Parameter Cum Curve,Max. Window Max Daily Cases,Cases dynamic1,Cases dynamic2,Confirmed Cases By Epi Dt,Probable By Epi Dt,Stacked Confirm + Probable cases
22-Jan-20,0,0,,1/23/2020,1/9/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
22-Jan-20,0,0,,1/23/2020,1/9/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
22-Jan-20,0,0,0,1/23/2020,1/9/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
23-Jan-20,0,0,,1/24/2020,1/10/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
23-Jan-20,0,0,,1/24/2020,1/10/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
23-Jan-20,0,0,0,1/24/2020,1/10/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
24-Jan-20,0,0,,1/25/2020,1/11/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
24-Jan-20,0,0,,1/25/2020,1/11/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
24-Jan-20,0,0,0,1/25/2020,1/11/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
25-Jan-20,0,0,,1/26/2020,1/12/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
25-Jan-20,0,0,,1/26/2020,1/12/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
25-Jan-20,0,0,0,1/26/2020,1/12/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
26-Jan-20,0,0,,1/27/2020,1/13/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
26-Jan-20,0,0,,1/27/2020,1/13/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
26-Jan-20,0,0,0,1/27/2020,1/13/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
27-Jan-20,0,0,,1/28/2020,1/14/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
27-Jan-20,0,0,,1/28/2020,1/14/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
27-Jan-20,0,0,0,1/28/2020,1/14/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
28-Jan-20,0,0,,1/29/2020,1/15/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
28-Jan-20,0,0,,1/29/2020,1/15/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
28-Jan-20,0,0,0,1/29/2020,1/15/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
29-Jan-20,0,0,,1/30/2020,1/16/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,1,0,1
29-Jan-20,0,0,,1/30/2020,1/16/2020,confirmed plus probable cases,Wisconsin,"9,568",1,,1,0,1
29-Jan-20,0,0,0,1/30/2020,1/16/2020,confirmed plus probable cases,Wisconsin,"9,568",,,1,0,1
30-Jan-20,0,0,,1/31/2020,1/17/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
30-Jan-20,0,0,,1/31/2020,1/17/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
30-Jan-20,0,0,0,1/31/2020,1/17/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
31-Jan-20,0,0,,2/1/2020,1/18/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
31-Jan-20,0,0,,2/1/2020,1/18/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
31-Jan-20,0,0,0,2/1/2020,1/18/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
1-Feb-20,0,0,,2/2/2020,1/19/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
1-Feb-20,0,0,,2/2/2020,1/19/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
1-Feb-20,0,0,0,2/2/2020,1/19/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
2-Feb-20,0,0,,2/3/2020,1/20/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
2-Feb-20,0,0,,2/3/2020,1/20/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
2-Feb-20,0,0,0,2/3/2020,1/20/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
3-Feb-20,0,0,,2/4/2020,1/21/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
3-Feb-20,0,0,,2/4/2020,1/21/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
3-Feb-20,0,0,0,2/4/2020,1/21/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
4-Feb-20,0,0,,2/5/2020,1/22/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
4-Feb-20,0,0,,2/5/2020,1/22/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
4-Feb-20,0,0,0,2/5/2020,1/22/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
5-Feb-20,0,0,,2/6/2020,1/23/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
5-Feb-20,0,0,,2/6/2020,1/23/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
5-Feb-20,0,0,0,2/6/2020,1/23/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
6-Feb-20,0,0,,2/7/2020,1/24/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
6-Feb-20,0,0,,2/7/2020,1/24/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
6-Feb-20,0,0,0,2/7/2020,1/24/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
7-Feb-20,0,0,,2/8/2020,1/25/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
7-Feb-20,0,0,,2/8/2020,1/25/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
7-Feb-20,0,0,0,2/8/2020,1/25/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
8-Feb-20,0,0,,2/9/2020,1/26/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
8-Feb-20,0,0,,2/9/2020,1/26/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
8-Feb-20,0,0,0,2/9/2020,1/26/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
9-Feb-20,0,0,,2/10/2020,1/27/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
9-Feb-20,0,0,,2/10/2020,1/27/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
9-Feb-20,0,0,0,2/10/2020,1/27/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
10-Feb-20,0,0,,2/11/2020,1/28/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
10-Feb-20,0,0,,2/11/2020,1/28/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
10-Feb-20,0,0,0,2/11/2020,1/28/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
11-Feb-20,0,0,,2/12/2020,1/29/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
11-Feb-20,0,0,,2/12/2020,1/29/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
11-Feb-20,0,0,0,2/12/2020,1/29/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
12-Feb-20,0,0,,2/13/2020,1/30/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
12-Feb-20,0,0,,2/13/2020,1/30/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
12-Feb-20,0,0,0,2/13/2020,1/30/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
13-Feb-20,0,0,,2/14/2020,1/31/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
