Day of Epi Dt,Measure Names,7 Day Average (conf+prob) (TT),7 Day Average (conf+prob),7 Day Average (conf+prob),Prelim end date,Prelim start date,7 Day Average (TT Text),County Parameter Cum Curve,Max. Window Max Daily Cases,Measure Values,Confirmed Cases By Epi Dt,Probable By Epi Dt,Stacked Confirm + Probable cases
23-Feb-21,Probable cases,59,59,,2/24/2021,2/10/2021,confirmed plus probable cases,Milwaukee County,1572,2,10,2,12
22-Feb-21,Probable cases,75,75,,2/23/2021,2/9/2021,confirmed plus probable cases,Milwaukee County,1572,13,54,13,67
21-Feb-21,Probable cases,81,81,,2/22/2021,2/8/2021,confirmed plus probable cases,Milwaukee County,1572,7,25,7,32
20-Feb-21,Probable cases,85,85,,2/21/2021,2/7/2021,confirmed plus probable cases,Milwaukee County,1572,8,43,8,51
19-Feb-21,Probable cases,89,89,,2/20/2021,2/6/2021,confirmed plus probable cases,Milwaukee County,1572,19,73,19,92
18-Feb-21,Probable cases,91,91,,2/19/2021,2/5/2021,confirmed plus probable cases,Milwaukee County,1572,16,55,16,71
17-Feb-21,Probable cases,97,97,,2/18/2021,2/4/2021,confirmed plus probable cases,Milwaukee County,1572,12,82,12,94
16-Feb-21,Probable cases,101,101,,2/17/2021,2/3/2021,confirmed plus probable cases,Milwaukee County,1572,25,94,25,119
15-Feb-21,Probable cases,105,105,,2/16/2021,2/2/2021,confirmed plus probable cases,Milwaukee County,1572,27,81,27,108
14-Feb-21,Probable cases,108,108,,2/15/2021,2/1/2021,confirmed plus probable cases,Milwaukee County,1572,6,59,6,65
13-Feb-21,Probable cases,110,110,,2/14/2021,1/31/2021,confirmed plus probable cases,Milwaukee County,1572,7,69,7,76
12-Feb-21,Probable cases,113,113,,2/13/2021,1/30/2021,confirmed plus probable cases,Milwaukee County,1572,21,88,21,109
11-Feb-21,Probable cases,119,119,,2/12/2021,1/29/2021,confirmed plus probable cases,Milwaukee County,1572,20,88,20,108
10-Feb-21,Probable cases,126,126,,2/11/2021,1/28/2021,confirmed plus probable cases,Milwaukee County,1572,15,112,15,127
9-Feb-21,Probable cases,133,133,,2/10/2021,1/27/2021,confirmed plus probable cases,Milwaukee County,1572,16,126,16,142
8-Feb-21,Probable cases,143,143,,2/9/2021,1/26/2021,confirmed plus probable cases,Milwaukee County,1572,14,119,14,133
7-Feb-21,Probable cases,161,161,,2/8/2021,1/25/2021,confirmed plus probable cases,Milwaukee County,1572,9,72,9,81
6-Feb-21,Probable cases,168,168,,2/7/2021,1/24/2021,confirmed plus probable cases,Milwaukee County,1572,7,84,7,91
5-Feb-21,Probable cases,180,180,,2/6/2021,1/23/2021,confirmed plus probable cases,Milwaukee County,1572,24,129,24,153
4-Feb-21,Probable cases,195,195,,2/5/2021,1/22/2021,confirmed plus probable cases,Milwaukee County,1572,16,139,16,155
3-Feb-21,Probable cases,209,209,,2/4/2021,1/21/2021,confirmed plus probable cases,Milwaukee County,1572,22,157,22,179
2-Feb-21,Probable cases,224,224,,2/3/2021,1/20/2021,confirmed plus probable cases,Milwaukee County,1572,33,176,33,209
1-Feb-21,Probable cases,229,229,,2/2/2021,1/19/2021,confirmed plus probable cases,Milwaukee County,1572,39,224,39,263
31-Jan-21,Probable cases,237,237,,2/1/2021,1/18/2021,confirmed plus probable cases,Milwaukee County,1572,5,127,5,132
30-Jan-21,Probable cases,240,240,,1/31/2021,1/17/2021,confirmed plus probable cases,Milwaukee County,1572,23,149,23,172
29-Jan-21,Probable cases,244,244,,1/30/2021,1/16/2021,confirmed plus probable cases,Milwaukee County,1572,41,218,41,259
28-Jan-21,Probable cases,244,244,,1/29/2021,1/15/2021,confirmed plus probable cases,Milwaukee County,1572,24,225,24,249
27-Jan-21,Probable cases,250,250,,1/28/2021,1/14/2021,confirmed plus probable cases,Milwaukee County,1572,37,248,37,285
26-Jan-21,Probable cases,258,258,,1/27/2021,1/13/2021,confirmed plus probable cases,Milwaukee County,1572,27,216,27,243
25-Jan-21,Probable cases,268,268,,1/26/2021,1/12/2021,confirmed plus probable cases,Milwaukee County,1572,45,274,45,319
24-Jan-21,Probable cases,274,274,,1/25/2021,1/11/2021,confirmed plus probable cases,Milwaukee County,1572,19,139,19,158
23-Jan-21,Probable cases,280,280,,1/24/2021,1/10/2021,confirmed plus probable cases,Milwaukee County,1572,21,176,21,197
22-Jan-21,Probable cases,285,285,,1/23/2021,1/9/2021,confirmed plus probable cases,Milwaukee County,1572,25,238,25,263
21-Jan-21,Probable cases,295,295,,1/22/2021,1/8/2021,confirmed plus probable cases,Milwaukee County,1572,38,252,38,290
20-Jan-21,Probable cases,303,303,,1/21/2021,1/7/2021,confirmed plus probable cases,Milwaukee County,1572,34,302,34,336
19-Jan-21,Probable cases,317,317,,1/20/2021,1/6/2021,confirmed plus probable cases,Milwaukee County,1572,40,278,40,318
18-Jan-21,Probable cases,332,332,,1/19/2021,1/5/2021,confirmed plus probable cases,Milwaukee County,1572,47,311,47,358
17-Jan-21,Probable cases,369,369,,1/18/2021,1/4/2021,confirmed plus probable cases,Milwaukee County,1572,29,170,29,199
16-Jan-21,Probable cases,377,377,,1/17/2021,1/3/2021,confirmed plus probable cases,Milwaukee County,1572,24,212,24,236
15-Jan-21,Probable cases,390,390,,1/16/2021,1/2/2021,confirmed plus probable cases,Milwaukee County,1572,63,268,63,331
14-Jan-21,Probable cases,410,410,,1/15/2021,1/1/2021,confirmed plus probable cases,Milwaukee County,1572,47,300,47,347
13-Jan-21,Probable cases,419,419,,1/14/2021,12/31/2020,confirmed plus probable cases,Milwaukee County,1572,73,360,73,433
12-Jan-21,Probable cases,428,428,,1/13/2021,12/30/2020,confirmed plus probable cases,Milwaukee County,1572,76,347,76,423
11-Jan-21,Probable cases,458,458,,1/12/2021,12/29/2020,confirmed plus probable cases,Milwaukee County,1572,127,490,127,617
10-Jan-21,Probable cases,462,462,,1/11/2021,12/28/2020,confirmed plus probable cases,Milwaukee County,1572,28,224,28,252
9-Jan-21,Probable cases,478,478,,1/10/2021,12/27/2020,confirmed plus probable cases,Milwaukee County,1572,31,301,31,332
8-Jan-21,Probable cases,498,498,,1/9/2021,12/26/2020,confirmed plus probable cases,Milwaukee County,1572,69,399,69,468
7-Jan-21,Probable cases,475,475,,1/8/2021,12/25/2020,confirmed plus probable cases,Milwaukee County,1572,57,357,57,414
6-Jan-21,Probable cases,477,477,,1/7/2021,12/24/2020,confirmed plus probable cases,Milwaukee County,1572,44,452,44,496
5-Jan-21,Probable cases,473,473,,1/6/2021,12/23/2020,confirmed plus probable cases,Milwaukee County,1572,101,529,101,630
4-Jan-21,Probable cases,466,466,,1/5/2021,12/22/2020,confirmed plus probable cases,Milwaukee County,1572,79,565,79,644
3-Jan-21,Probable cases,467,467,,1/4/2021,12/21/2020,confirmed plus probable cases,Milwaukee County,1572,33,329,33,362
2-Jan-21,Probable cases,461,461,,1/3/2021,12/20/2020,confirmed plus probable cases,Milwaukee County,1572,34,441,34,475
1-Jan-21,Probable cases,453,453,,1/2/2021,12/19/2020,confirmed plus probable cases,Milwaukee County,1572,36,269,36,305
31-Dec-20,Probable cases,439,439,,1/1/2021,12/18/2020,confirmed plus probable cases,Milwaukee County,1572,46,385,46,431
30-Dec-20,Probable cases,420,420,,12/31/2020,12/17/2020,confirmed plus probable cases,Milwaukee County,1572,44,424,44,468
29-Dec-20,Probable cases,414,414,,12/30/2020,12/16/2020,confirmed plus probable cases,Milwaukee County,1572,51,528,51,579
28-Dec-20,Probable cases,399,399,,12/29/2020,12/15/2020,confirmed plus probable cases,Milwaukee County,1572,72,579,72,651
27-Dec-20,Probable cases,379,379,,12/28/2020,12/14/2020,confirmed plus probable cases,Milwaukee County,1572,27,293,27,320
