DATE,GEOID,GEO,NAME,POSITIVE,POS_NEW,POS_7DAYAVG,NEGATIVE,NEG_NEW,NEG_7DAYAVG,DEATHS,DTH_NEW,DTH_7DAYAVG,TEST_NEW,TEST_7DAYAVG,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,IP_Y_0_9,IP_Y_10_19,IP_Y_20_29,IP_Y_30_39,IP_Y_40_49,IP_Y_50_59,IP_Y_60_69,IP_Y_70_79,IP_Y_80_89,IP_Y_90,IP_N_0_9,IP_N_10_19,IP_N_20_29,IP_N_30_39,IP_N_40_49,IP_N_50_59,IP_N_60_69,IP_N_70_79,IP_N_80_89,IP_N_90,IP_U_0_9,IP_U_10_19,IP_U_20_29,IP_U_30_39,IP_U_40_49,IP_U_50_59,IP_U_60_69,IP_U_70_79,IP_U_80_89,IP_U_90,IC_YES,IC_Y_0_9,IC_Y_10_19,IC_Y_20_29,IC_Y_30_39,IC_Y_40_49,IC_Y_50_59,IC_Y_60_69,IC_Y_70_79,IC_Y_80_89,IC_Y_90,OBJECTID
2020-03-15,55,State,WI,32,,,313,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2020-03-16,55,State,WI,47,15.0,15.0,504,191.0,191.0,0,0.0,0.0,206.0,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
2020-03-17,55,State,WI,72,25.0,20.0,1038,534.0,362.5,0,0.0,0.0,559.0,382.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147
2020-03-18,55,State,WI,106,34.0,24.67,1577,539.0,421.33,0,0.0,0.0,573.0,446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68537
2020-03-19,55,State,WI,155,49.0,30.75,2192,615.0,469.75,0,0.0,0.0,664.0,500.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68610
2020-03-20,55,State,WI,206,51.0,34.8,3455,1263.0,628.4,3,3.0,0.6000000000000001,1314.0,663.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68683
2020-03-21,55,State,WI,281,75.0,41.5,4628,1173.0,719.17,4,1.0,0.67,1248.0,760.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68756
2020-03-22,55,State,WI,381,100.0,49.86,6230,1602.0,845.29,4,0.0,0.5700000000000001,1702.0,895.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68829
2020-03-23,55,State,WI,416,35.0,52.71,7050,820.0,935.14,5,1.0,0.71,855.0,987.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68902
2020-03-24,55,State,WI,457,41.0,55.0,8237,1187.0,1028.43,5,0.0,0.71,1228.0,1083.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68975
2020-03-25,55,State,WI,585,128.0,68.43,10089,1852.0,1216.0,6,1.0,0.86,1980.0,1284.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69048
2020-03-26,55,State,WI,707,122.0,78.86,11583,1494.0,1341.57,8,2.0,1.1400000000000001,1616.0,1420.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69121
2020-03-27,55,State,WI,842,135.0,90.86,13140,1557.0,1383.57,13,5.0,1.43,1692.0,1474.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69194
2020-03-28,55,State,WI,989,147.0,101.14,15232,2092.0,1514.86,13,0.0,1.29,2239.0,1616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69267
2020-03-29,55,State,WI,1112,123.0,104.43,16550,1318.0,1474.29,13,0.0,1.29,1441.0,1578.71,,,,601.0,511.0,,4.0,14.0,148.0,169.0,186.0,203.0,220.0,111.0,46.0,11.0,5.0,8.0,,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69340
2020-03-30,55,State,WI,1221,109.0,115.0,15856,-694.0,1258.0,14,1.0,1.29,-585.0,1373.0,283.0,670.0,268.0,652.0,569.0,,4.0,16.0,161.0,179.0,198.0,224.0,247.0,126.0,53.0,13.0,5.0,9.0,,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69413
2020-03-31,55,State,WI,1351,130.0,127.71,17375,1519.0,1305.43,16,2.0,1.57,1649.0,1433.14,337.0,750.0,264.0,713.0,638.0,,5.0,16.0,171.0,193.0,216.0,251.0,274.0,142.0,66.0,17.0,7.0,9.0,,0.0,0.0,0.0,0.0,1.0,4.0,3.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69486
2020-04-01,55,State,WI,1550,199.0,137.86,18819,1444.0,1247.14,24,8.0,2.5700000000000003,1643.0,1385.0,398.0,825.0,327.0,809.0,741.0,,7.0,16.0,189.0,213.0,255.0,295.0,310.0,165.0,77.0,23.0,10.0,14.0,,0.0,0.0,0.0,0.0,1.0,6.0,5.0,6.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69559
