OBJECTID,GEOID,GEO,NAME,NEGATIVE,POSITIVE,HOSP_YES,HOSP_NO,HOSP_UNK,DEATHS,DATE
185,55021970900,Census tract,,261,5,-999.0,-999.0,-999.0,,1592229600000
186,55021971000,Census tract,,188,-999,-999.0,-999.0,-999.0,,1592229600000
188,55021971200,Census tract,,358,-999,-999.0,-999.0,-999.0,,1592229600000
193,55023960400,Census tract,,266,-999,-999.0,-999.0,-999.0,,1592229600000
194,55023960500,Census tract,,203,-999,-999.0,-999.0,-999.0,,1592229600000
195,55023960600,Census tract,,435,10,-999.0,6.0,-999.0,,1592229600000
201,55025000205,Census tract,,357,9,-999.0,-999.0,-999.0,,1592229600000
202,55025000300,Census tract,,395,6,-999.0,-999.0,-999.0,,1592229600000
203,55025000401,Census tract,,264,-999,-999.0,-999.0,-999.0,,1592229600000
204,55025000402,Census tract,,195,-999,-999.0,-999.0,-999.0,,1592229600000
205,55025000405,Census tract,,436,5,-999.0,-999.0,-999.0,,1592229600000
207,55025000407,Census tract,,444,9,-999.0,8.0,-999.0,,1592229600000
208,55025000408,Census tract,,324,10,5.0,-999.0,-999.0,,1592229600000
209,55025000501,Census tract,,386,8,-999.0,6.0,-999.0,,1592229600000
210,55025000503,Census tract,,538,18,-999.0,13.0,-999.0,,1592229600000
215,55025000901,Census tract,,185,-999,-999.0,-999.0,-999.0,,1592229600000
216,55025000902,Census tract,,335,-999,-999.0,-999.0,-999.0,,1592229600000
217,55025001000,Census tract,,198,5,-999.0,-999.0,-999.0,,1592229600000
218,55025001101,Census tract,,166,-999,-999.0,-999.0,-999.0,,1592229600000
219,55025001102,Census tract,,12,-999,-999.0,-999.0,-999.0,,1592229600000
223,55025001402,Census tract,,474,10,-999.0,9.0,-999.0,,1592229600000
224,55025001403,Census tract,,679,18,-999.0,14.0,-999.0,,1592229600000
225,55025001501,Census tract,,192,7,-999.0,5.0,-999.0,,1592229600000
226,55025001502,Census tract,,495,20,-999.0,16.0,-999.0,,1592229600000
231,55025001704,Census tract,,1031,23,-999.0,-999.0,18.0,,1592229600000
232,55025001705,Census tract,,398,-999,-999.0,-999.0,-999.0,,1592229600000
233,55025001802,Census tract,,349,9,-999.0,7.0,-999.0,,1592229600000
235,55025001900,Census tract,,749,7,-999.0,7.0,-999.0,,1592229600000
237,55025002100,Census tract,,579,11,-999.0,8.0,-999.0,,1592229600000
238,55025002200,Census tract,,443,7,-999.0,6.0,-999.0,,1592229600000
240,55025002302,Census tract,,461,-999,-999.0,-999.0,-999.0,,1592229600000
243,55025002500,Census tract,,219,6,-999.0,-999.0,-999.0,,1592229600000
245,55025002602,Census tract,,428,16,6.0,9.0,-999.0,,1592229600000
246,55025002603,Census tract,,452,10,-999.0,-999.0,5.0,,1592229600000
251,55025003002,Census tract,,285,7,-999.0,5.0,-999.0,,1592229600000
252,55025003100,Census tract,,583,18,5.0,12.0,-999.0,,1592229600000
253,55025003200,Census tract,,97,-999,-999.0,-999.0,-999.0,,1592229600000
254,55025010100,Census tract,,189,-999,-999.0,-999.0,-999.0,,1592229600000
255,55025010200,Census tract,,105,-999,-999.0,-999.0,-999.0,,1592229600000
260,55025010600,Census tract,,335,-999,-999.0,-999.0,-999.0,,1592229600000
264,55025010901,Census tract,,707,8,-999.0,5.0,-999.0,,1592229600000
265,55025010903,Census tract,,263,5,-999.0,-999.0,-999.0,,1592229600000
266,55025010904,Census tract,,625,14,-999.0,10.0,-999.0,,1592229600000
267,55025011000,Census tract,,294,8,-999.0,7.0,-999.0,,1592229600000
268,55025011101,Census tract,,410,6,-999.0,-999.0,-999.0,,1592229600000
269,55025011102,Census tract,,677,21,-999.0,17.0,-999.0,,1592229600000
