County,HERC Region,Modified HERC,Modified HERC Parentheses,Modified HERC Short
Florence,Northeast,Northeast,Northeast,Northeast
Marinette,Northeast,Northeast,Northeast,Northeast
Oconto,Northeast,Northeast,Northeast,Northeast
Brown,Northeast,Northeast,Northeast,Northeast
Manitowoc,Northeast,Northeast,Northeast,Northeast
Kewaunee,Northeast,Northeast,Northeast,Northeast
Door,Northeast,Northeast,Northeast,Northeast
Iron,North Central,North Central,North Central,North Central
Vilas,North Central,North Central,North Central,North Central
Oneida,North Central,North Central,North Central,North Central
Forest,North Central,North Central,North Central,North Central
Price,North Central,North Central,North Central,North Central
Lincoln,North Central,North Central,North Central,North Central
Langlade,North Central,North Central,North Central,North Central
Taylor,North Central,North Central,North Central,North Central
Marathon,North Central,North Central,North Central,North Central
Clark,North Central,North Central,North Central,North Central
Wood,North Central,North Central,North Central,North Central
Portage,North Central,North Central,North Central,North Central
Douglas,Northwest,Northwest,Northwest,Northwest
Bayfield,Northwest,Northwest,Northwest,Northwest
Ashland,Northwest,Northwest,Northwest,Northwest
Burnett,Northwest,Northwest,Northwest,Northwest
Washburn,Northwest,Northwest,Northwest,Northwest
Sawyer,Northwest,Northwest,Northwest,Northwest
Polk,Northwest,Northwest,Northwest,Northwest
Barron,Northwest,Northwest,Northwest,Northwest
Rusk,Northwest,Northwest,Northwest,Northwest
St. Croix,Northwest,Northwest,Northwest,Northwest
Dunn,Northwest,Northwest,Northwest,Northwest
Chippewa,Northwest,Northwest,Northwest,Northwest
Pierce,Northwest,Northwest,Northwest,Northwest
Pepin,Northwest,Northwest,Northwest,Northwest
Eau Claire,Northwest,Northwest,Northwest,Northwest
Menominee,Fox Valley,Fox Valley,Fox Valley,Fox Valley
Shawano,Fox Valley,Fox Valley,Fox Valley,Fox Valley
Outagamie,Fox Valley,Fox Valley,Fox Valley,Fox Valley
Waupaca,Fox Valley,Fox Valley,Fox Valley,Fox Valley
Waushara,Fox Valley,Fox Valley,Fox Valley,Fox Valley
Winnebago,Fox Valley,Fox Valley,Fox Valley,Fox Valley
Calumet,Fox Valley,Fox Valley,Fox Valley,Fox Valley
Green Lake,Fox Valley,Fox Valley,Fox Valley,Fox Valley
Fond du Lac,Southeast,Outer Southeast,(Outer) Southeast,Southeast
Sheboygan,Southeast,Outer Southeast,(Outer) Southeast,Southeast
Washington,Southeast,Outer Southeast,(Outer) Southeast,Southeast
Ozaukee,Southeast,Outer Southeast,(Outer) Southeast,Southeast
Waukesha,Southeast,Outer Southeast,(Outer) Southeast,Southeast
Milwaukee,Southeast,Milwaukee,Milwaukee,Milwaukee
Walworth,Southeast,Outer Southeast,(Outer) Southeast,Southeast
Racine,Southeast,Outer Southeast,(Outer) Southeast,Southeast
Kenosha,Southeast,Outer Southeast,(Outer) Southeast,Southeast
Buffalo,Western,Western,Western,Western
Trempealeau,Western,Western,Western,Western
Jackson,Western,Western,Western,Western
La Crosse,Western,Western,Western,Western
Monroe,Western,Western,Western,Western
Vernon,Western,Western,Western,Western
Crawford,Western,Western,Western,Western
Juneau,South Central,Outer South Central,(Outer) South Central,South Central
Adams,South Central,Outer South Central,(Outer) South Central,South Central
Marquette,South Central,Outer South Central,(Outer) South Central,South Central
Richland,South Central,Outer South Central,(Outer) South Central,South Central
Sauk,South Central,Outer South Central,(Outer) South Central,South Central
Columbia,South Central,Outer South Central,(Outer) South Central,South Central
Dodge,South Central,Outer South Central,(Outer) South Central,South Central
Grant,South Central,Outer South Central,(Outer) South Central,South Central
Iowa,South Central,Outer South Central,(Outer) South Central,South Central
Dane,South Central,Madison,Madison,Madison
Jefferson,South Central,Outer South Central,(Outer) South Central,South Central
Lafayette,South Central,Outer South Central,(Outer) South Central,South Central
Green,South Central,Outer South Central,(Outer) South Central,South Central
Rock,South Central,Outer South Central,(Outer) South Central,South Central
