,Window Max Daily Deaths-alias,SUM(Confirm + Probable deaths)-alias,SUM(Confirmed Deathsby Death Dt)-alias,SUM(Probable Deathsby Death Dt)-alias,DAY(Epi Dt)-value,DAY(Epi Dt)-alias,County Parameter Cum Curve-alias,AGG(Prelim start date)-alias,AGG(Prelim end date)-alias,Measure Names-alias,Measure Values-value,Measure Values-alias
0,93,4,4,0,2021-12-20 00:00:00,12/20/21,Wisconsin,12/7/2021,12/21/2021,Probable case death,0,0.00
1,93,8,8,0,2021-12-19 00:00:00,12/19/21,Wisconsin,12/6/2021,12/20/2021,Probable case death,0,0.00
2,93,10,10,0,2021-12-18 00:00:00,12/18/21,Wisconsin,12/5/2021,12/19/2021,Probable case death,0,0.00
3,93,11,11,0,2021-12-17 00:00:00,12/17/21,Wisconsin,12/4/2021,12/18/2021,Probable case death,0,0.00
4,93,12,12,0,2021-12-16 00:00:00,12/16/21,Wisconsin,12/3/2021,12/17/2021,Probable case death,0,0.00
5,93,16,15,1,2021-12-15 00:00:00,12/15/21,Wisconsin,12/2/2021,12/16/2021,Probable case death,1,1.00
6,93,25,24,1,2021-12-14 00:00:00,12/14/21,Wisconsin,12/1/2021,12/15/2021,Probable case death,1,1.00
7,93,23,18,5,2021-12-13 00:00:00,12/13/21,Wisconsin,11/30/2021,12/14/2021,Probable case death,5,5.00
8,93,17,16,1,2021-12-12 00:00:00,12/12/21,Wisconsin,11/29/2021,12/13/2021,Probable case death,1,1.00
9,93,14,14,0,2021-12-11 00:00:00,12/11/21,Wisconsin,11/28/2021,12/12/2021,Probable case death,0,0.00
10,93,18,17,1,2021-12-10 00:00:00,12/10/21,Wisconsin,11/27/2021,12/11/2021,Probable case death,1,1.00
11,93,30,28,2,2021-12-09 00:00:00,12/9/21,Wisconsin,11/26/2021,12/10/2021,Probable case death,2,2.00
12,93,23,21,2,2021-12-08 00:00:00,12/8/21,Wisconsin,11/25/2021,12/9/2021,Probable case death,2,2.00
13,93,19,17,2,2021-12-07 00:00:00,12/7/21,Wisconsin,11/24/2021,12/8/2021,Probable case death,2,2.00
14,93,20,18,2,2021-12-06 00:00:00,12/6/21,Wisconsin,11/23/2021,12/7/2021,Probable case death,2,2.00
15,93,25,22,3,2021-12-05 00:00:00,12/5/21,Wisconsin,11/22/2021,12/6/2021,Probable case death,3,3.00
16,93,12,11,1,2021-12-04 00:00:00,12/4/21,Wisconsin,11/21/2021,12/5/2021,Probable case death,1,1.00
17,93,23,23,0,2021-12-03 00:00:00,12/3/21,Wisconsin,11/20/2021,12/4/2021,Probable case death,0,0.00
18,93,22,21,1,2021-12-02 00:00:00,12/2/21,Wisconsin,11/19/2021,12/3/2021,Probable case death,1,1.00
