"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US55085971001","Census Tract 9710.01, Oneida County, Wisconsin","1340","111"
"1400000US55133200102","Census Tract 2001.02, Waukesha County, Wisconsin","5046","285"
"1400000US55017010800","Census Tract 108, Chippewa County, Wisconsin","7035","239"
"1400000US55087010601","Census Tract 106.01, Outagamie County, Wisconsin","3824","247"
"1400000US55059000602","Census Tract 6.02, Kenosha County, Wisconsin","7708","532"
"1400000US55009940004","Census Tract 9400.04, Brown County, Wisconsin","2578","193"
"1400000US55079021500","Census Tract 215, Milwaukee County, Wisconsin","3016","215"
"1400000US55133201202","Census Tract 2012.02, Waukesha County, Wisconsin","6140","253"
"1400000US55127000701","Census Tract 7.01, Walworth County, Wisconsin","3936","230"
"1400000US55081950400","Census Tract 9504, Monroe County, Wisconsin","4474","252"
"1400000US55079008900","Census Tract 89, Milwaukee County, Wisconsin","1236","279"
"1400000US55137960100","Census Tract 9601, Waushara County, Wisconsin","2845","125"
"1400000US55139002000","Census Tract 20, Winnebago County, Wisconsin","7129","318"
"1400000US55079060101","Census Tract 601.01, Milwaukee County, Wisconsin","4019","228"
"1400000US55013971000","Census Tract 9710, Burnett County, Wisconsin","1801","94"
"1400000US55101001705","Census Tract 17.05, Racine County, Wisconsin","5554","319"
"1400000US55059001200","Census Tract 12, Kenosha County, Wisconsin","4245","339"
"1400000US55079100100","Census Tract 1001, Milwaukee County, Wisconsin","3736","450"
"1400000US55141011400","Census Tract 114, Wood County, Wisconsin","4902","393"
"1400000US55073001800","Census Tract 18, Marathon County, Wisconsin","5412","172"
"1400000US55113100400","Census Tract 1004, Sawyer County, Wisconsin","2232","160"
"1400000US55067960600","Census Tract 9606, Langlade County, Wisconsin","4753","272"
"1400000US55033970100","Census Tract 9701, Dunn County, Wisconsin","3880","134"
"1400000US55083101300","Census Tract 1013, Oconto County, Wisconsin","8903","125"
"1400000US55079060102","Census Tract 601.02, Milwaukee County, Wisconsin","3098","172"
"1400000US55079018000","Census Tract 180, Milwaukee County, Wisconsin","2967","271"
"1400000US55023960600","Census Tract 9606, Crawford County, Wisconsin","3628","183"
"1400000US55087011101","Census Tract 111.01, Outagamie County, Wisconsin","4753","311"
"1400000US55079003100","Census Tract 31, Milwaukee County, Wisconsin","4121","419"
"1400000US55025000700","Census Tract 7, Dane County, Wisconsin","3303","160"
"1400000US55055100300","Census Tract 1003, Jefferson County, Wisconsin","6169","326"
"1400000US55141010200","Census Tract 102, Wood County, Wisconsin","5297","195"
"1400000US55079004200","Census Tract 42, Milwaukee County, Wisconsin","3677","400"
"1400000US55079185300","Census Tract 1853, Milwaukee County, Wisconsin","3790","224"
"1400000US55107960100","Census Tract 9601, Rusk County, Wisconsin","3536","126"
"1400000US55015020100","Census Tract 201, Calumet County, Wisconsin","4745","186"
"1400000US55053960100","Census Tract 9601, Jackson County, Wisconsin","4029","218"
"1400000US55021970900","Census Tract 9709, Columbia County, Wisconsin","4629","216"
"1400000US55045960700","Census Tract 9607, Green County, Wisconsin","4012","159"
"1400000US55079005900","Census Tract 59, Milwaukee County, Wisconsin","3697","305"
"1400000US55085971500","Census Tract 9715, Oneida County, Wisconsin","4418","357"
"1400000US55031020600","Census Tract 206, Douglas County, Wisconsin","4350","298"
"1400000US55079020800","Census Tract 208, Milwaukee County, Wisconsin","3227","173"
"1400000US55099970200","Census Tract 9702, Price County, Wisconsin","2652","166"
"1400000US55089610101","Census Tract 6101.01, Ozaukee County, Wisconsin","4423","204"
"1400000US55057100300","Census Tract 1003, Juneau County, Wisconsin","3632","503"
"1400000US55043960700","Census Tract 9607, Grant County, Wisconsin","3954","74"
"1400000US55105000100","Census Tract 1, Rock County, Wisconsin","1005","131"
"1400000US55027960300","Census Tract 9603, Dodge County, Wisconsin","7928","40"
"1400000US55009000700","Census Tract 7, Brown County, Wisconsin","4570","315"
"1400000US55139002800","Census Tract 28, Winnebago County, Wisconsin","4536","379"
"1400000US55067960700","Census Tract 9607, Langlade County, Wisconsin","3667","270"
"1400000US55079003300","Census Tract 33, Milwaukee County, Wisconsin","5298","409"
"1400000US55127001603","Census Tract 16.03, Walworth County, Wisconsin","2567","216"
"1400000US55079004300","Census Tract 43, Milwaukee County, Wisconsin","4812","665"
"1400000US55139003000","Census Tract 30, Winnebago County, Wisconsin","1518","149"
"1400000US55039041300","Census Tract 413, Fond du Lac County, Wisconsin","6723","169"
"1400000US55039041400","Census Tract 414, Fond du Lac County, Wisconsin","5789","207"
"1400000US55133203704","Census Tract 2037.04, Waukesha County, Wisconsin","5230","265"
"1400000US55027960900","Census Tract 9609, Dodge County, Wisconsin","4474","264"
"1400000US55009020504","Census Tract 205.04, Brown County, Wisconsin","5571","232"
"1400000US55133203306","Census Tract 2033.06, Waukesha County, Wisconsin","6543","336"
"1400000US55063001101","Census Tract 11.01, La Crosse County, Wisconsin","2004","149"
"1400000US55079120201","Census Tract 1202.01, Milwaukee County, Wisconsin","3796","256"
