Virus name,Accession ID,Collection date
hCoV-19/USA/WI-CDC-LC0006598/2021,EPI_ISL_1020954,2021-01-19
hCoV-19/USA/WI-CDC-LC0001837/2020,EPI_ISL_1028044,2020-12-26
hCoV-19/USA/WI-UW-3574/2021,EPI_ISL_1132367,2021-02-18
hCoV-19/USA/WI-UW-3669/2021,EPI_ISL_1182657,2021-02-20
hCoV-19/USA/WI-UW-3670/2021,EPI_ISL_1182658,2021-02-19
hCoV-19/USA/WI-UW-3590/2021,EPI_ISL_1182659,2021-02-20
hCoV-19/USA/WI-UW-3671/2021,EPI_ISL_1182660,2021-02-23
hCoV-19/USA/WI-UW-3672/2021,EPI_ISL_1182661,2021-02-23
hCoV-19/USA/WI-UW-3673/2021,EPI_ISL_1182662,2021-02-23
hCoV-19/USA/WI-UW-3674/2021,EPI_ISL_1182663,2021-02-20
hCoV-19/USA/WI-UW-3675/2021,EPI_ISL_1182664,2021-02-20
hCoV-19/USA/WI-UW-3676/2021,EPI_ISL_1182665,2021-02-19
hCoV-19/USA/WI-UW-3677/2021,EPI_ISL_1182666,2021-02-20
hCoV-19/USA/WI-UW-3591/2021,EPI_ISL_1182667,2021-02-19
hCoV-19/USA/WI-UW-3699/2021,EPI_ISL_1235613,2021-02-24
hCoV-19/USA/WI-UW-3700/2021,EPI_ISL_1235614,2021-02-24
hCoV-19/USA/WI-UW-3701/2021,EPI_ISL_1235615,2021-02-24
hCoV-19/USA/WI-UW-3702/2021,EPI_ISL_1235616,2021-02-26
hCoV-19/USA/WI-UW-3703/2021,EPI_ISL_1235617,2021-02-26
hCoV-19/USA/WI-UW-3704/2021,EPI_ISL_1235618,2021-02-26
hCoV-19/USA/WI-UW-3705/2021,EPI_ISL_1235619,2021-03-01
hCoV-19/USA/WI-UW-3706/2021,EPI_ISL_1235620,2021-03-01
hCoV-19/USA/WI-UW-3707/2021,EPI_ISL_1235621,2021-03-01
hCoV-19/USA/WI-UW-3708/2021,EPI_ISL_1235622,2021-03-02
hCoV-19/USA/WI-UW-3709/2021,EPI_ISL_1235623,2021-03-02
hCoV-19/USA/WI-UW-3710/2021,EPI_ISL_1235624,2021-03-02
hCoV-19/USA/WI-UW-3711/2021,EPI_ISL_1235625,2021-03-02
hCoV-19/USA/WI-UW-3712/2021,EPI_ISL_1235626,2021-03-02
hCoV-19/USA/WI-UW-3713/2021,EPI_ISL_1235627,2021-03-02
hCoV-19/USA/WI-UW-3714/2021,EPI_ISL_1235628,2021-03-01
hCoV-19/USA/WI-UW-3715/2021,EPI_ISL_1235629,2021-02-27
