,Age group,Vax status,Population,Cases,Hospitalizations,Deaths
0,0-4,Vax,0.0,0.0,0.0,0.0
1,5-11,Vax,116119.96200000001,326.0,0.9,0.0
2,12-17,Vax,255222.47499999998,145.87846768059126,2.366477474760659,0.0
3,18-24,Vax,295655.355,200.0,1.0,0.0
4,25-34,Vax,439399.361,245.4,3.0,0.0
5,35-44,Vax,472923.755,242.1,2.3,0.2
6,45-54,Vax,479417.95999999996,193.3,2.5,0.8
7,55-64,Vax,617349.309,165.9,5.5,1.9
8,65+,Vax,861402.5700000001,173.7,18.3,8.8
9,Total,Vax,3540423.406,198.2,6.7,2.6
10,0-4,Unvax,326282.0,208.4,3.7,0.0
11,5-11,Unvax,371779.038,134.7,1.9,0.0
12,12-17,Unvax,189123.52500000002,149.08350474630132,2.032103585944287,0.0
13,18-24,Unvax,248829.64500000005,204.0,5.2,0.0
14,25-34,Unvax,301577.639,221.4,8.3,0.0
15,35-44,Unvax,249097.24499999997,210.7,10.1,0.8
16,45-54,Unvax,219442.04000000004,214.8,6.8,1.4
17,55-64,Unvax,202503.691,205.8,12.9,7.9
18,65+,Unvax,186532.42999999993,241.1,39.7,27.9
19,Total,Unvax,2292234.594,196.0,8.8,3.2
