Reporting date,Race,Initiated #,Initiated %,Completed #,Completed %
4/28/2021,White,2042683.0,0.3984280034391448,1583992.0,0.3089597211234332
4/28/2021,Black,81565.0,0.1898944888342553,57031.0,0.1327759773518839
4/28/2021,Asian,68792.0,0.3642390066979061,41951.0,0.2221216212638657
4/28/2021,American Indian,19912.0,0.2579775863185852,15158.0,0.1963853080261709
4/29/2021,White,2057329.0,0.4012847249854492,1617824.0,0.3155586971820547
4/29/2021,Black,82999.0,0.1932330371943156,58637.0,0.136514965264197
4/29/2021,Asian,69561.0,0.3683106981177031,43378.0,0.2296772827151669
4/29/2021,American Indian,20114.0,0.2605946751311784,15384.0,0.1993133380838246
4/30/2021,White,2070082.0,0.4037722143941629,1646308.0,0.3211145388128709
4/30/2021,Black,84403.0,0.1965017414464249,60008.0,0.1397068409975601
4/30/2021,Asian,70192.0,0.3716517088925953,44749.0,0.2369364360786806
4/30/2021,American Indian,20323.0,0.2633024551402475,15608.0,0.2022154563710566
5/1/2021,White,2079167.0,0.4055442555827587,1667693.0,0.3252857111648933
5/1/2021,Black,85284.0,0.1985528300832542,61282.0,0.1426728874485482
5/1/2021,Asian,70700.0,0.3743414608318111,45991.0,0.2435125618828264
5/1/2021,American Indian,20479.0,0.2653235732331412,15708.0,0.2035110448921423
5/2/2021,White,2083283.0,0.4063470867915932,1678206.0,0.3273362856300236
5/2/2021,Black,85659.0,0.1994258814326424,61863.0,0.1440255350058669
5/2/2021,Asian,70986.0,0.3758557699944405,46852.0,0.2480713737325603
5/2/2021,American Indian,20512.0,0.2657511174450995,15779.0,0.2044309127421131
5/4/2021,White,2087681.0,0.4072049224710037,1689886.0,0.3296144849787082
5/4/2021,Black,86205.0,0.2006970441973515,62835.0,0.146288484103481
5/4/2021,Asian,71356.0,0.3778148412887512,47704.0,0.252582532496757
5/4/2021,American Indian,20556.0,0.2663211763943772,15863.0,0.2055192070998251
5/5/2021,White,2096763.0,0.4089763785056573,1717043.0,0.3349114935157141
5/5/2021,Black,86940.0,0.2024082248421523,64013.0,0.1490310294090257
5/5/2021,Asian,71978.0,0.3811081989781061,49203.0,0.2605194186323565
5/5/2021,American Indian,20644.0,0.2674612942929326,16065.0,0.2081362959124182
