State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 12+ who have received a booster dose,Percent of fully vaccinated people 12+ with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,676650925,203805,262004,547446164,164889,496885686,192398,252144326,75.9,225957954,87.5,213962983,64.4,192614725,74.6,399609685,246803340,30237900,0,18315842,206634275,322007571,488476,75000659,122147814,16675097,139413,74915275,100921671,16644748,133031,N/A,75.9,N/A,87.5,61.1,181396963,70.2,252144326,56035258,95,48521468,88.6,23139082,22979203,2341928,61255,136333943,248821,1234940,242907305,85.7,207004129,73,74994708,115201126,16670212,138083,531172190,187349,238661,252079230,80.7,213946892,68.5,74997512,122137979,16672090,139311,547366992,175289,216691,91758822,42.9,91744543,44.3,88941912,46.2,31814550,65.6,39922769,50424268,1389965,21820,45909801,34595141,5023177,N/A,47074271,37212855,1296520,21627,42657052,3211948,31716,9085,2675072,31880310,32156,7603,1702568,2086894,1232385,1330,39579,33703,263,3609,92.9,7,0.1,0,7.7,92.2,0.1,0,33.9,41.5,24.5,0,51.3,43.7,0.3,4.7
Alaska,1412105,193031,256019,1073480,146741,966131,175163,499205,68.2,443686,80.4,438753,60,392242,71.1,784845,543560,83700,0,44353,414696,613485,946,157110,240638,40897,108,156681,194724,40735,102,N/A,68.2,N/A,80.4,55.4,358622,65,499205,85726,93.6,77769,84.9,42714,31347,3666,42,210850,230216,1541800,478988,78.7,423815,69.6,157103,225714,40890,108,1037866,170456,231920,499050,73.3,438720,64.5,157105,240615,40892,108,1073297,157730,207521,178694,40.7,178648,42.2,172868,44.1,54758,70.4,79906,96124,2642,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,9013800,183836,236280,6024341,122866,5637439,147775,3019677,61.6,2800555,73.4,2445646,49.9,2286541,59.9,4793980,3825520,394300,0,172205,2632998,3218685,453,1013235,1268979,162796,636,1012740,1110467,162701,633,N/A,61.6,N/A,73.4,47.5,2167565,56.8,3019677,807549,95,687889,80.9,365248,285478,36757,406,1820261,214189,1060650,2960735,70.7,2411394,57.6,1013216,1234756,162786,636,5928631,141600,215287,3019276,65.5,2445584,53.1,1013231,1268929,162788,636,6023886,130703,195577,824670,33.7,824599,34.2,812885,35.6,384886,56,407162,402729,14711,68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,5691620,188601,245577,4048531,134155,3701338,159702,1974354,65.4,1782491,76.9,1604678,53.2,1458913,62.9,3131560,2309260,250800,0,120700,1732423,2191548,3860,654597,837491,111411,1179,653435,693772,110864,842,N/A,65.4,N/A,76.9,50.5,1377600,59.4,1974354,494341,94.4,415655,79.3,233423,166056,15707,469,1146728,218891,1086430,1913971,74.8,1565203,61.2,654576,798463,111283,881,3948968,154423,222568,1972589,69.7,1604422,56.7,654584,837369,111291,1178,4046619,143023,201164,596424,37.2,596324,38.1,583689,40,256611,61.7,292687,293974,9334,429,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,92810,195835,296186,85408,180216,62366,199030,42479,89.6,30384,95,37957,80.1,27207,86.8,70710,21500,600,0,559,20916,63906,27,9046,28327,571,13,9027,17597,570,13,N/A,89.6,N/A,95,79.1,26718,85.3,42479,3020,92.1,2771,84.5,1159,1584,26,2,6737,205522,2831300,36868,95,33099,89.7,9045,23470,571,13,74879,202831,251402,42474,95,37957,88,9046,28327,571,13,85403,198105,215286,5606,14.8,5605,16.9,5498,20.2,1075,38.8,1796,3810,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,13768420,189160,244187,11390371,156489,10310716,182863,5166278,71,4589926,81.4,4336577,59.6,3908347,69.3,7968400,5197020,603000,0,358220,4498488,6509769,23894,1607411,2396214,326460,6492,1606690,1969271,326001,6385,N/A,71,N/A,81.4,56.3,3666789,65,5166278,1279112,95,1108699,84.7,540124,514868,50260,3447,3223220,246304,1052120,4967997,80.1,4213027,67.9,1607360,2272979,326215,6473,11059716,178208,221854,5165388,75.4,4336280,63.3,1607394,2396170,326224,6492,11389326,166294,201030,1682515,38.8,1682106,39.9,1629737,41.7,644885,58.2,743277,916467,21831,940,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,321310,N/A,N/A,296705,N/A,296703,N/A,140208,N/A,140206,N/A,130700,N/A,130699,N/A,164910,140300,16100,0,14157,131416,151100,32,51190,66033,13477,0,51190,66033,13476,0,N/A,N/A,N/A,N/A,0,119935,0,140208,3863,0,3615,0,1733,1687,195,0,9449,0,0,140206,0,130699,0,51190,66033,13476,0,296703,0,0,140206,0,130699,0,51190,66033,13476,0,296703,0,0,38472,29.4,38472,29.4,38472,29.4,2138,59.1,22906,14902,642,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,84393225,213588,275636,70535116,178515,63101870,206097,32116092,81.3,28312135,92.5,27584866,69.8,24412544,79.7,50897505,29821420,3674300,0,2255956,26473875,41790172,15113,9526889,15990991,2062199,4787,9500267,12853493,2054364,4420,N/A,81.3,N/A,92.5,66.6,23168040,75.7,32116092,5962122,95,5168899,88.5,2613169,2353567,200711,1452,14596943,250028,1445560,30756997,91.4,26538808,78.9,9526122,14946362,2061597,4727,68129797,202488,250825,32103482,86.5,27581078,74.3,9526583,15987880,2061829,4786,70519039,189932,227300,13007392,47.2,13006029,49,12525288,51.3,3625457,70.1,5693401,7108287,205202,502,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,11694535,203075,259924,10193231,177005,9210919,204723,4490951,78,3992250,88.7,3961927,68.8,3539214,78.7,6940935,4268300,485300,0,334407,3955269,5894656,8899,1416907,2234114,308439,2467,1416288,1812452,308096,2378,N/A,78,N/A,88.7,65.5,3350704,74.5,4490951,850910,95,773814,91.9,368877,375382,28703,852,2206324,261906,1388220,4301576,87.1,3813738,77.3,1416838,2086029,308414,2457,9854703,199647,236920,4489766,82.7,3961855,73,1416893,2234075,308420,2467,10191992,187818,215506,1949767,49.2,1949555,51.1,1883762,53.2,566992,73.3,873844,1050779,24734,410,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,8128515,227990,286432,7220234,202515,6494620,228857,3330914,93.4,2961515,95,2758194,77.4,2453585,86.5,4712175,3078840,337500,0,245546,2734001,4239471,1216,935005,1593994,228752,443,934469,1290215,228564,337,N/A,93.4,N/A,95,73.2,2306991,81.3,3330914,728095,95,600158,95,235996,341443,22618,101,1762136,279596,1289740,3199310,95,2654586,85.5,934675,1490803,228668,440,6983490,224843,261708,3329491,95,2757750,81.5,934797,1593839,228672,442,7218391,213336,240234,1339667,48.6,1339549,50.5,1292188,52.7,436942,72.8,619065,704219,16364,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
